1893,-2228,2285,-1491,986,-465,-650,3063,155,-4267,-863,2132,-310,649,164,934,-1152,1083,-1905,1704,-861,-912,2019,-2341,2257,-1166,135,6,-627,1110,-1563,1092,-445,3667,-3806,-2044,1936,-1273,1974,-1136,170,850,-1004,847,-1594,2448,-2116,787,-491,1197,-1878,1350,422,-1232,451,-752,428,141,-320,3005,-2308,-3201,2159,1452,-3486,3714,-1704,2176,-2826,2053,-746,-142,109,-212,-6,476,-394,493,-773,1404,-2364
-1969,783,1162,950,-4766,1515,887,-640,1151,-993,1916,-2875,2230,-1260,502,-274,64,-103,-190,796,-1013,548,115,-33,-250,-162,1158,-426,1603,-1653,726,-358,-31,1042,-1145,1384,-1052,3690,-6483,2198,1004,-703,-1211,2844,-343,-1027,-719,1611,-1155,-23,742,-166,-1527,3031,-1311,1220,248,-699,366,-165,-336,-495,4805,-3830,-3251,2618,-768,2192,-2410,2903,-2600,1877,-1048,862,-793,160,-464,381,490,-526,-548
-937,902,1718,-1257,-3567,733,2349,-1788,1348,-723,2008,-3342,2538,-1183,776,-1659,1322,-384,313,172,-150,-150,336,-726,1515,-1410,1466,194,520,-1462,1270,-1228,1920,-2019,1330,321,3069,-5941,757,-436,3110,-1048,-1270,2167,-704,-701,446,-107,1030,-3177,3987,-2328,1099,-1100,1306,-151,-218,389,-665,2932,-1982,-3466,2657,-1816,2460,-1803,2724,-1816,172,-513,1554,-1613,271,5,456,-676,667,-77,341,-1704,2746
-10,352,-750,1137,-1926,2612,-1931,1756,-2215,2064,-1953,2957,2499,-4995,-2763,3141,631,-15,-983,1165,-388,367,-976,1515,-1987,1679,-1972,2801,-3881,66,371,92,200,1294,-2060,2610,-2573,1881,-2591,2464,-575,-582,740,-280,-403,854,-267,586,-1923,2788,-2385,2511,-1984,1494,58,409,-676,1015,-1237,2175,629,-2434,-3072,4764,-2432,1053,-118,646,293,-1908,1845,-1302,520,-410,-146,1140,-1546,1208,-1110,2027,-2172
-3175,-1384,2826,-1625,183,512,1264,-1735,890,-1196,2308,-3091,2345,-1353,1147,-737,562,89,-114,-412,856,-448,469,-1091,1747,-2040,2594,1063,518,-1027,594,-255,-415,1170,-1199,1029,-1926,5510,-5107,604,-1303,1394,983,-429,-404,1127,-966,-261,334,795,-598,-1033,944,887,2082,-2129,1797,-2271,2075,-1117,1331,-1011,10,-97,4251,-4842,-2319,4364,-2841,1575,-376,1493,-1432,-1144,2054,-1241,520,-756,-154,540,96
-524,1235,-1566,1998,-1675,1154,-1710,1631,-855,2730,-1299,-3912,2180,-111,188,867,-1297,1867,-2026,2146,-1886,1244,-1311,1586,-1424,1873,-2219,-266,-235,915,-876,1076,1794,-2750,-2792,2437,-953,2812,-2832,2002,-530,-221,-197,-558,1468,-1569,741,-225,-101,792,-1249,1800,-2088,1724,1524,-1873,939,-522,1129,-986,3263,-4579,0,1577,-1948,1856,222,-31,-97,-599,1205,-2175,2159,-1764,1372,-1917,2534,-1588,561,36,-628
173,-1192,1614,-1474,1842,-2732,2727,-1443,1960,-954,2010,-3982,264,854,131,140,74,178,-767,870,-609,38,324,-970,1458,-1930,2286,-244,-327,1122,-1594,2107,-2504,3042,-1865,827,-930,4033,-4211,-1677,2449,-1703,1434,-104,1207,-1572,-203,759,-688,740,-1075,611,-1120,1973,-2712,3276,-2409,1902,-1844,1554,-440,153,521,881,1326,-5064,417,1363,495,-688,648,639,-1195,-242,815,25,-1652,824,573,-337,-8
-293,822,-2037,2313,-1421,1142,-928,1180,-2400,3905,-716,-4140,-186,1741,714,-431,-294,935,-859,301,-1026,1888,-2111,1650,-1794,2545,-2107,11,553,-1227,1588,-1768,2485,-2438,1550,1424,-1428,-3932,3550,-340,-616,331,1086,-194,-1514,274,1925,-2668,1961,-1591,1738,-2243,2679,-1428,-83,94,-578,3590,-3122,-2557,2847,-1494,1295,-761,1954,-2274,1572,-1352,1799,-2158,1309,-871,806,93,-398,-38,494,-581,812,-816,1079
-340,637,-844,82,1140,-1416,1380,-1965,2313,-2662,4820,-2486,-1697,19,608,-876,1951,-728,430,-485,383,61,-1144,1193,59,-1847,2295,-1485,1626,-2475,2475,-756,100,-641,739,-89,1648,940,-6816,3240,1147,-1212,-1097,2487,125,-2392,957,975,-1231,-523,1191,-186,-1416,2223,437,-73,-1376,1913,-1308,740,-1193,4231,-4340,-1192,1778,-1021,1531,-1077,1834,-1913,1228,-924,591,-577,451,-593,-40,948,-1205,679,84
558,-936,-253,1348,-961,955,-1413,1139,159,2877,-6635,3053,-1421,2081,-310,99,937,-1942,690,307,-495,416,-1165,1619,-1517,1882,-1686,-2088,1998,-2298,3094,-1575,52,-213,-67,545,-711,3882,-4161,-1165,628,1335,-568,602,-787,984,-503,367,-612,-207,646,-527,-130,1212,-491,577,-1187,2134,-1646,1512,-1060,2740,-1047,-4734,1308,1163,-123,1112,-1144,517,2123,-2847,1251,-1746,1685,313,-2290,1963,-853,854,-1128
-1868,1459,-649,205,-133,409,4600,-6698,-618,697,1122,1069,-271,220,12,-378,-398,738,-817,1245,-1455,652,-1201,1093,571,-1509,1309,756,-277,-74,-387,808,3142,-5678,142,1407,1839,-2924,2481,-338,-359,-1123,1379,-36,-1883,1351,282,-1066,1135,-1236,1539,-1670,1757,-1082,62,125,-462,1207,-2292,2742,-1719,1497,-2321,2184,-1077,3678,-3414,-2595,1844,-178,1356,-396,-176,730,-1660,1755,-1803,1755,-1873,1771,-1461
-972,1439,-728,188,939,2037,-6652,3659,-1094,845,-252,1237,-671,-520,768,-715,124,-19,203,-794,429,1523,-2654,2118,-1351,1372,-1620,-1198,2305,-2511,2285,-2133,1583,-790,603,-1051,1926,1801,-5292,1515,-543,1343,-204,12,688,-730,15,-231,371,-307,-232,169,128,39,848,-746,802,-2040,2520,-1195,835,-1038,709,-791,4419,-4639,-2107,2187,317,450,-517,705,26,-1966,2714,-2116,1778,-2580,2299,-1370,1774
-1510,2139,-2832,3024,-1926,1778,-1406,1124,-530,434,-1006,3476,-2760,-2815,2234,-636,646,73,552,228,-2092,1950,-1494,1437,-1437,916,-415,1197,-563,-29,424,-409,1186,-2047,2432,1186,-3619,-2733,5772,-2884,1478,-871,2346,-2179,-122,1249,-606,-563,46,336,697,-1395,1746,-2258,1222,-1947,1924,-1738,2478,-2033,1336,-1611,1472,-261,2210,-1824,-3983,2461,-163,2349,-1876,530,319,-297,-127,-635,1232,-1063,-149,306,-15
489,-8,-755,1668,-1123,1710,-3090,2772,-978,912,-2366,4322,-1738,-3527,844,1467,108,-33,141,769,-1297,233,-427,1405,-2362,2191,-2107,-301,5260,-6693,1057,-471,1420,-1204,1328,110,-401,-580,974,-566,143,-294,18,-678,2057,-2368,2024,-2001,2376,-1905,1072,-576,1005,-246,1780,-1847,2059,-3234,3742,-1773,972,-968,605,-254,113,2578,-1463,-4685,2636,2578,-3519,409,2805,-1489,-1155,270,2209,-3247,1031,791,-429
-420,-195,392,-384,657,-2135,4858,-1771,-3672,-226,3298,-1856,1374,-884,1290,-1458,378,785,-1409,922,-1301,1079,511,-717,198,-948,2369,294,-9,-65,1776,776,-3598,-1307,3172,-1848,2278,-2581,3494,-2705,1464,-554,76,255,-172,-36,-83,-315,891,-969,1604,-1953,1661,-2095,491,-137,-989,1691,-1280,1870,-2885,3196,-2022,1335,-1945,3414,901,-5027,-142,2740,-883,-25,735,-50,-593,-556,1335,-392,-1559,1969,-1954
443,-266,-353,607,-300,4158,-5728,-463,1308,1596,-2269,2116,-686,1180,-2947,2676,-851,-327,-214,244,450,16,-569,910,-1218,1740,-2370,1377,-1522,2438,-2046,361,1022,-1302,1495,-1100,1250,-2645,3963,1107,-4934,-753,2464,-1363,1848,-544,1033,-1561,238,458,9,-809,895,-2192,-583,518,36,3068,-2997,-2186,28,2147,-776,1547,-2768,3303,-2437,1433,-1057,342,154,-512,789,-27,-1255,1783,-1462,1705,-1893,2100,-2120
-67,978,-1907,2360,-1869,2095,-2427,2590,-1782,489,-1196,3564,-75,-4993,1344,443,-79,1874,-1376,1608,-2271,1290,-934,1409,-1476,557,-1013,426,-627,-316,2262,1368,-5625,-458,3490,-1892,1788,-847,1064,-1674,885,-144,-229,-95,162,-215,231,465,-878,422,859,-1531,1568,-2466,-830,1413,-299,563,-1760,1595,-1433,1434,-1958,4157,-760,-4306,1102,37,994,-968,1333,-533,473,-808,407,-93,-390,453,-1120,1733,-1077
1754,-1029,-153,866,-1561,1970,-1222,1253,-2744,3462,1037,-4691,392,277,908,1130,-1807,1721,-885,153,-943,1593,-992,276,-1637,3183,-2077,-1181,1770,-1084,328,-439,95,587,615,2582,-6192,-961,4471,-856,-379,-822,3446,-3721,1390,-179,1184,-2994,2332,-388,22,-415,653,-247,-265,665,-527,320,646,-2054,2185,-1165,821,-2180,6294,-5608,-358,942,-272,1,1139,-519,234,-245,456,-1127,1545,-1090,623,-1908,3399
1994,-655,-4266,2050,38,71,1047,-1441,1826,-2232,2706,-2474,1443,-1241,914,-152,-132,153,-638,668,-260,298,156,-1281,1769,-917,650,-1110,450,-792,1024,279,-930,1392,-2071,2089,-1933,5215,-4963,-1196,-316,1327,1872,-1042,-370,1157,-1371,612,-1003,1968,-2004,789,-611,2106,-612,-245,929,-838,1400,-1165,636,-2151,2790,2225,-3998,-2684,2451,1489,-1917,2023,-542,574,-3036,3405,-1277,-273,-704,868,261,-593,583
-1662,1435,-690,-45,799,-709,730,-1996,2617,-1946,5023,-4455,-1702,405,1651,-244,363,-1023,1332,-974,634,-77,-308,-664,1496,-1379,1917,-617,1088,-80,-771,-675,4344,-2894,-3134,567,2011,-1591,2785,-2149,2740,-3082,770,519,-80,-244,-643,514,730,-975,897,-501,901,-2291,410,-836,1065,-1468,2233,-2449,1867,-1677,1244,2208,-1857,-2879,1777,-541,696,778,-1647,1722,-1943,2153,-1266,-205,397,-871,1298,-819,575
114,-125,439,-509,622,-1204,5166,-5439,-1480,843,2832,-1959,703,563,-95,-914,244,1071,-1820,1087,-547,321,534,-1189,1110,-1280,2202,162,-613,3502,-2347,-2307,221,2099,-2397,2261,-978,1787,-2364,1440,68,-796,492,-164,-166,291,-801,1453,-1332,1581,-2301,2407,-1458,1100,429,-266,-875,1468,-1568,1863,-1724,1886,-2416,2643,-1971,2704,504,-3618,-1298,3162,-1522,119,1525,-64,-744,-291,427,690,-2816,2995,-2115
1637,-2564,2065,-1416,2209,-1557,349,-697,822,760,1485,-3813,-492,3042,-3382,2391,269,-1335,724,-1136,1754,-2046,751,220,-757,928,-423,171,1335,-2222,1937,-1099,1431,-2404,1815,-671,1439,1492,-4563,-85,1931,-992,1493,-1335,1380,-791,481,-639,433,-973,1893,-2463,2650,-1885,771,-175,-96,3014,-4138,-2255,3631,-1500,894,-606,1891,-1266,-541,635,-710,729,-806,905,-1377,1321,-381,-69,374,-805,1108,-1627,2102
722,-1063,1570,-1867,1689,-1511,938,-1102,2347,1061,-5163,2390,-793,987,-606,1301,-827,224,-391,859,-967,217,-255,-175,873,-341,-736,306,226,234,-1784,2458,-1757,1565,-1331,1703,-1505,4612,-6163,-335,2414,-707,59,712,770,-1164,-337,1563,-1941,1050,-1353,2127,-2418,2757,-237,959,-895,1100,-1207,1338,-2456,3211,-2434,1935,-2205,1653,310,-720,452,-705,262,321,3101,-3110,-2873,2712,-1745,2988,-1756,402,188
441,-243,230,1264,1862,-6196,-120,4506,-1641,-29,-1745,5090,-3911,45,588,1408,-2466,440,1547,-729,-384,767,-399,511,-1369,2124,-1817,331,251,249,-28,-540,1279,-2273,2657,-1906,1746,-3035,6686,-5126,-1638,1283,-232,933,-317,858,-103,-1245,1421,-1397,1758,-1557,770,-1303,-271,-195,-536,450,-150,-31,3624,-3732,-3995,4242,375,-2205,617,1345,38,-2419,1902,270,-2361,1815,-710,987,-1484,1430,-599,-474,1116
-529,1661,-1536,712,-1761,2689,-1761,86,454,2780,-2654,-2859,3240,-2541,2422,-1042,1008,-611,-471,440,-308,424,-253,-670,785,-113,-98,427,-816,1170,-2057,2700,-1908,1748,-2137,1807,1764,-505,-5655,3695,-272,-503,1220,-31,682,-2511,1693,631,-1977,1204,-1284,1964,-1812,2075,-500,-654,952,-1077,644,3333,-3743,-2503,2418,-168,-1567,1803,-141,-343,-659,1677,-1122,-1556,2411,-1394,850,-1003,981,-1202,751,753,-1098
99,-210,3540,-3910,-2100,1842,520,-411,1062,-696,2126,-3657,2436,-1386,1344,-1454,209,646,-61,-107,144,70,230,-1437,2526,-2401,2696,471,23,177,-3,-19,-1214,1583,-1477,1512,-1869,5556,-5650,-630,2178,-1349,1053,-721,1443,-1726,1248,-348,-124,-465,811,-831,166,1027,-1977,1253,-1157,254,673,-557,1214,-2114,1587,-797,4688,-6192,-663,2527,574,-2100,1980,616,-789,-1553,1959,-415,-471,-415,1165,-1478,2321
-893,695,547,-1038,2599,306,-5564,3074,-275,1055,-2384,2991,-1579,978,-944,1221,-1636,1113,-88,-329,232,378,-962,1198,-799,1125,-2195,-92,-115,515,-1620,2432,-1630,765,-92,3177,-6331,1606,1810,-1786,575,1149,856,-2002,947,-1189,1010,-520,316,-894,249,1540,-2224,1509,591,552,-183,-107,-953,1438,-1872,2523,2012,-3708,-3279,5220,-2489,319,950,-202,-225,-661,1332,-540,-1909,2633,-1883,2149,-1944,1561,-1875
2484,-3180,2961,-1473,991,-560,211,57,-250,802,2003,-4891,804,2468,-2272,193,1134,691,-772,-1586,2188,-1420,774,-645,192,405,-650,-705,564,1351,1411,-5284,1633,-281,498,1824,-2595,2748,-2687,2231,-1624,964,-388,-485,126,714,-24,-1030,548,296,-386,330,-490,1421,806,-741,-243,1439,-1331,1357,-2180,4077,-721,-3363,-1070,4487,-3527,1469,494,1437,-2675,348,1748,-1210,-601,644,-265,1178,-1936,2258,-2414
