738,-1128,817,355,-202,-487,2905,-2123,-3544,2377,1085,-2522,1903,-203,1712,-2258,79,1060,182,-1387,147,655,464,-1379,638,176,481,-163,425,-602,-223,1798,-1317,699,-847,3738,-4250,-1087,2395,-1965,1057,864,-112,330,-1139,767,-291,-250,78,-110,-17,-198,961,-1483,597,1439,-5082,385,1727,-994,736,630,-301,759,-2359,2192,-560,-3,-1185,144,1097,-309,-593,-181,680,-214,160,-763,1680,-1159,774
256,-1075,979,470,-442,228,2579,-2433,-3043,1578,1513,-2575,2225,-519,1396,-1467,135,726,-558,-410,301,-141,452,-706,-159,777,-424,681,-1540,1451,-461,1029,-914,-72,962,2320,-4323,-1523,2267,800,-1491,469,1010,879,-2832,1006,1287,-1069,-477,-605,1912,-956,-227,112,-1341,659,-216,217,96,202,-109,3200,-3229,-3287,1317,2636,-668,-745,-927,3202,-1546,-1666,1494,554,-433,-1826,1196,1516,-1583,-598,1423
1335,1365,-1009,-4443,3318,-19,-704,40,75,1920,-1272,-1430,2062,-728,-554,-608,963,357,-1790,1271,-303,732,-1342,1128,-149,258,-1005,292,-588,1119,-1364,1301,-632,2190,-726,-3849,1652,809,-1811,2248,-674,1163,-1585,773,-179,332,-1004,-301,944,-307,434,-935,860,-152,-109,564,-558,529,-526,1256,-1995,3543,-865,-4258,1579,1604,-2191,984,952,409,-1241,-115,271,822,-1575,-460,1737,-640,617,-1668,1185
1904,-1742,769,-105,784,-920,-352,1122,2501,-3769,-1364,1597,1091,-2042,1585,292,63,-760,-250,1209,-887,267,-763,682,333,-236,-605,-138,-331,59,224,513,-544,-452,1429,1799,-2974,-3972,4649,691,-1006,-1407,1904,529,-1777,-92,1637,-523,-915,-757,2372,-1030,-610,86,-273,148,483,-423,78,532,-584,3262,-2199,-4479,1682,2621,-828,-1560,1784,460,-1080,-1434,2475,23,-1794,-223,1531,-262,-230,-808,1441
-249,215,341,-1463,3228,-274,-3553,-205,2838,-2545,702,905,877,-758,-625,398,1018,-2256,1297,58,-202,-132,-919,1628,-852,115,-342,173,-526,532,-917,1700,-530,-527,728,2675,-4819,-1044,2891,-113,-969,1190,-127,1408,-2884,1393,1035,-773,-960,-168,1566,-163,-1181,124,-155,647,-771,228,1080,-1549,252,919,2077,-1621,-5675,4735,826,-1475,-1526,1652,2125,-1986,-862,1812,-648,-502,-704,1738,-574,-79,-637
1110,-1316,280,930,-314,-362,373,1235,1806,-6228,-55,3360,285,-1723,66,1699,-396,-659,-949,2580,-1145,-1327,592,1287,-861,-579,-335,381,-645,193,1005,-765,522,-409,1540,2705,-6573,232,2462,18,-722,164,1126,621,-2304,735,936,-37,-1843,1033,415,272,-1026,-134,-505,-395,1022,-72,534,1760,-3028,-2258,2692,587,-2247,1842,127,785,-2446,862,1642,-1509,-858,963,366,149,-1585,1563,-336,122,-579
498,-874,1535,-1092,504,953,682,-4860,782,3149,-864,-1692,1020,1420,-910,-2062,2251,412,-1522,-189,496,1187,-2120,1540,-326,19,-626,-1104,1602,-1254,323,699,46,-557,699,2498,-3727,-3050,4658,-969,-512,28,810,418,-2227,1611,142,-248,-1593,1346,471,-218,-780,696,378,-552,164,634,-824,675,400,2375,-4900,-66,3238,-2178,-67,497,1655,-1326,-617,1050,-86,-836,403,-82,412,-1155,1511,-1082,457
-609,766,-825,1403,-1367,716,49,-257,910,2942,-5013,-2422,3348,1491,-2034,937,-531,1776,-2561,1006,1328,-881,-989,26,1022,119,-1147,1097,-251,-649,3177,-2091,-3013,734,1170,-640,1412,-1293,1534,-748,-977,1427,-247,-1539,1015,-145,636,-974,-572,1987,-1064,340,-829,1378,-964,705,167,-88,-552,1051,-656,989,-1490,4163,-2639,-3350,1689,1361,-1198,15,428,1556,-1901,-40,545,878,-1127,-866,1557,-446,402
-793,538,-1282,783,925,-629,150,-122,-292,4132,-4231,-2889,2701,300,-372,-655,1957,-2,-1329,-1402,2973,-979,-1325,-7,1288,-67,-941,310,367,2689,-4738,-390,1919,550,-1885,1323,644,105,-1438,402,1067,-734,-1486,1621,-180,144,-806,-229,1592,-1292,596,-346,937,-1122,450,-729,779,-480,498,550,-1339,3491,-1619,-4034,1089,1760,-233,-1085,796,1412,-1040,-1463,531,2212,-2288,-47,161,1725,-1448,-216,1078
-788,1100,-1408,1174,-516,385,551,-619,2276,-1242,-4370,2640,756,286,-2247,2323,322,-708,-1341,1881,669,-1984,-139,1761,-233,-1074,-143,-259,361,213,-337,175,479,-1122,4200,-3051,-3308,1920,1278,-2193,1719,260,846,-1365,-950,1835,436,-2726,1172,710,-22,-454,-937,2142,-824,496,-139,695,-597,209,742,306,2713,-5006,-2029,3815,-966,1191,-1293,1245,-149,-1521,505,1621,-1406,-673,574,1074,-935,-28,-69
