-1581,1706,-516,837,-529,-11,1456,1749,-3206,-4504,1400,4076,-1717,-1108,1904,815,-2028,986,-570,453,-1498,2452,-2440,1982,-1501,1531,-894,-238,-1502,1775,-2082,3390,-1977,1297,-1647,2360,1889,-1744,-6896,2750,3785,-1555,-513,53,2146,-2962,1374,-183,426,-1762,1555,-186,-518,455,232,-30,15,-273,892,2934,-2126,-7104,4592,890,867,-2857,2304,-551,-530,158,1086,-534,-853,421,677,-1109,1643,-2091,1734,-1149,553
-312,2478,698,-5721,-2084,3776,710,-1141,273,724,974,-3056,2768,-1804,1606,-1964,1514,-868,554,165,-605,389,-414,535,-102,-59,780,473,-867,591,-1,-304,925,191,3424,-4858,-3871,3224,3701,-4192,652,545,1171,-2783,2176,-282,-37,-473,538,71,-986,1183,-172,-992,-1590,1084,-34,964,-1093,815,-1072,1967,-1122,3732,24,-8018,-1058,5022,1045,-2592,1016,1619,-1157,-933,-36,2238,-2899,2150,-1676,1831,-1538
-1658,1402,83,-273,186,-602,662,1752,2218,-5205,-4412,6286,-888,-396,-675,1334,-1148,800,-113,378,-1182,1091,-307,-460,616,284,-1500,-255,-789,781,-1339,2212,-1798,1761,-1676,2332,1451,489,-7534,1128,3083,-120,-1524,286,2173,-2623,1532,-232,-177,136,-1157,2306,-2419,2305,-395,1268,-430,-1084,1713,-1,2880,-2516,-2477,-2762,5533,-2909,436,-473,3486,-2329,-699,1880,-805,-737,783,-636,1122,-1580,1858,-2025,1997
-371,-852,1678,-2272,2832,-1804,1522,-1457,2037,1669,-657,-5473,-915,3925,904,-1981,34,2242,-995,-1731,1852,-447,-694,-534,1899,-1217,214,2468,-2095,691,-629,495,569,-698,1408,-1424,4914,-3321,-4317,433,4189,-2653,1291,-1201,2102,-1922,660,1003,-793,-33,-844,1399,-617,-6,-407,841,3017,-2164,-3635,-516,2887,-1678,1072,-643,2556,-2456,640,-3,971,-1284,-27,685,-141,-389,-40,88,828,-1774,2293,-2537,3201
-1135,1889,-654,1653,-1401,352,309,2786,-496,-3650,-4075,3591,2026,-2168,864,68,2253,-3604,2812,-1780,1144,-1347,883,258,-651,109,19,-395,1347,-321,-539,1295,1641,-1475,-5683,3986,-136,1888,-3903,3492,10,-1608,-184,2060,-1064,-1102,351,1055,-960,248,-45,910,-1871,2463,-817,943,-1062,875,520,-41,-649,577,643,4863,-7201,-5099,5074,2872,-2216,-1131,1704,1010,-2203,1240,-1145,1855,-2378,2582,-2159,1779,-486
125,-69,380,71,91,-27,3053,-447,-7935,1342,5871,-3062,72,-704,2274,-2209,553,1150,-859,-69,30,443,-892,591,613,-1350,922,816,-1859,831,220,-143,517,-884,1227,1138,3650,-6814,-4771,5284,2382,-2668,-1153,3088,-759,-656,-762,2411,-2450,1669,-812,491,-265,112,-1066,867,-620,741,314,-325,3569,101,-6483,-2005,4389,-1962,2704,-2264,2932,-1671,157,40,-319,1021,-1406,176,744,-329,-245,-626,1280
2017,-2179,1847,-2090,1978,-1302,453,106,137,3116,1025,-6170,-1615,3730,-991,130,-1031,3265,-2273,481,-154,1140,-1220,12,253,148,254,-935,-655,1421,-1016,1558,-1651,1742,-589,2968,-209,-3786,-5605,7176,75,-2331,-26,1631,1303,-3368,2272,-745,-138,-1014,1816,-668,-651,344,979,-2214,2636,-2118,1357,-1607,1712,-337,2018,1001,-4141,-1745,867,2793,-2374,990,-239,2209,-3587,2477,-585,514,-1487,1137,-153,-488,509
85,1259,-2222,1772,-600,1470,-1055,4016,-5420,-1779,-542,3874,-1102,-409,751,684,-890,-398,614,-46,-1075,1682,-1980,2628,-2306,2217,-1791,-1922,1836,-2402,2943,-1591,1058,-1380,1227,32,2123,-113,-5686,1519,2083,-410,-1338,1284,775,-1839,920,365,-153,-1522,1921,-1092,371,108,-2281,572,1,-737,1811,-1332,1377,-1994,2595,-426,4372,-4698,-5228,956,5299,-2100,19,-69,873,-749,104,783,-1930,501,1750,-2523,2237
25,191,2118,1525,-6079,-1442,2232,2646,-2544,1139,-532,2673,-3867,2727,-628,-151,-651,800,16,-684,-85,1044,-1409,1502,-812,1550,-2548,392,335,251,-533,2235,1804,-6367,-2837,4462,742,-490,-2027,4149,-2410,375,-1087,2574,-1846,-498,993,205,-651,506,-925,1564,-1385,1968,-167,869,-1857,2990,-1970,1359,-1384,3029,-950,-2137,-3465,2379,1833,-962,-512,1445,526,-1560,-652,2049,-1867,770,-899,2385,-2811,1881,-830
343,2034,-4727,422,461,1084,-2113,2743,-1804,1454,-1953,2388,-1258,-403,1097,-700,9,410,-571,612,-1151,2231,-2333,2136,-1746,2107,-1707,-207,-48,792,-1081,1250,-1605,2517,1394,1140,-8403,1085,3498,946,-1985,-478,2792,-1425,-1189,1110,-87,182,-1676,2363,-1592,656,-1015,1989,921,-1353,1887,-1293,616,-411,235,1717,1828,-2335,-6404,4671,470,299,-2149,2750,-1234,686,-1256,2166,-2078,520,320,97,-284,160,-694
-1072,2048,-2166,2245,-2565,2364,-694,391,713,1286,-1075,-4953,1866,1319,1103,-2074,1508,229,-828,-578,879,448,-1793,463,992,-371,-365,466,-756,1204,-2121,2921,-1373,1513,-1168,1627,1305,-322,-8734,2776,3661,-91,-1808,524,3436,-3658,575,-40,403,-889,52,1211,-1648,1638,-985,1430,-1184,1803,-2641,2985,-500,1969,-1311,-2837,-1462,2644,-895,827,-174,339,518,-970,302,-535,30,974,-1587,1979,-2142,1943,-1469
599,1603,926,-4494,-586,373,2469,-3244,3067,-977,1242,-2095,1824,-542,-483,337,36,50,-21,-848,1472,-1590,2002,-1648,1623,-2054,2533,-410,343,1457,1999,-3211,-4377,3338,488,2,-1816,2990,-1464,442,-1231,2528,-2680,950,116,376,-126,-319,-18,828,-1321,1926,-2024,2287,1134,-876,1059,1755,279,-6474,-264,3279,1167,-2675,1450,1469,-2139,708,-269,1125,-2487,2523,-1465,1327,-1193,648,-235,-142,644,-341,267
308,722,288,2193,-3244,-3933,3611,-957,1351,-1730,3045,-2160,684,-726,1647,-1772,713,-131,184,-227,300,-397,629,-826,1032,-1420,2228,116,-231,1468,2579,-1172,-6694,-220,4403,-43,-1820,997,1883,-1771,-343,902,387,-2510,2713,-1610,1498,-1667,1506,-376,-685,1015,-491,415,331,69,3188,-1426,-5380,637,2356,-1361,1284,-642,2216,-3183,2439,-1504,1993,-1888,579,-207,448,-96,-249,-217,922,-1304,1628,-1608,2390
-645,479,54,-586,1827,-1505,1869,1080,1462,-8968,1431,4022,-95,-2791,1928,1918,-2501,50,1207,197,-2166,1751,-639,353,-105,-76,213,1718,-2209,1701,-1532,1598,-842,832,-733,1500,2429,-846,-7083,729,4580,-1873,521,-1040,3021,-2450,411,440,64,127,-1495,1406,-584,-67,86,565,499,-1015,1746,-1975,3165,225,1837,-7071,-1339,2742,2587,-2593,1,2481,-539,-1862,1199,-38,111,-1672,2649,-1846,1287,-1598,1947
-1454,1775,-1827,1866,-1733,1400,-1340,2289,-965,2455,1531,-5999,-1483,2671,266,-1253,2229,-598,1065,-2954,2639,-1182,527,-163,-193,-169,543,2156,-2121,-3225,-1959,3863,-440,-773,-349,2709,-1252,-1082,1536,-1238,843,-1405,1754,-1787,1027,53,-556,1000,-967,845,-947,1608,-1084,-91,616,-304,-77,1189,-1034,1691,-1511,4031,-2698,-3513,-2030,4680,-805,464,-1115,2439,-1629,-530,757,-210,67,-656,548,855,-1945,2151,-2199
-1576,1801,-1053,-22,1083,-1390,2333,-1652,2204,-327,1101,-7171,1548,2819,783,-2805,1928,1293,-1468,-769,1395,-791,119,-295,1037,-1918,2625,-2322,2579,-2089,2056,-1255,998,-535,1886,498,-2475,-3164,2529,774,-1123,725,349,473,-860,-155,1396,-2514,2114,-1829,2058,-1753,616,206,-1850,598,-511,394,744,-696,1241,-1457,2512,2731,-5827,-5536,6603,604,-2038,-339,1651,326,-1673,786,284,-1544,1825,-1267,1244,-1787,2226
-829,1746,-2319,2117,-2525,2975,-1703,1359,-343,1290,2081,-3937,-3967,2645,2023,-1313,721,-562,1570,-2283,1562,-365,-732,962,-1377,1979,-1896,-113,690,-205,3096,-2529,-3841,-548,2998,-1350,1814,-2015,3068,-1287,-1077,848,253,-46,-793,273,1403,-2227,1969,-1361,1822,-2488,2769,-1567,-38,78,982,2249,-616,-5385,-2095,5901,-1229,348,-1644,3218,-1998,-483,913,180,-617,-602,910,287,-946,1022,-1568,2406,-2460,2493,-1641
-269,505,-478,85,1207,-966,759,3349,-3765,-5289,4347,814,-1646,674,90,1938,-3755,3484,-1397,825,-1589,1915,-1522,952,-253,-591,181,3570,-1176,-5311,-613,3211,-605,502,-23,-361,1152,-2400,2937,-1939,1165,-1235,258,930,-1356,985,-953,1321,-1108,624,-524,1581,-1240,578,602,-808,1444,2011,-1749,-5798,2188,3111,-1558,-581,735,1418,-1709,-179,2040,-2398,1183,-1377,2212,-1843,522,159,52,-101,390,-168,19
231,277,371,138,-565,1012,-166,4407,-4282,-3671,-1273,6321,-2452,-485,-329,2380,-1625,125,676,-763,-220,600,-394,624,-847,1210,-2190,-728,1080,-876,1186,-2158,2557,-1884,1879,184,3219,-4311,-2672,1279,469,346,-358,1414,-456,132,-1249,1991,-1039,-714,917,-939,1660,-2144,1289,-1714,1537,-656,322,-425,549,611,161,4439,-5971,-4717,4938,1844,-2479,-496,2002,-171,-1388,239,1587,-1659,-409,1589,-1536,1127,-626
558,-1665,2879,-2036,1791,-2220,2408,-825,1201,-864,3327,-2711,-5185,2818,592,888,-1347,1888,-402,550,-2407,1886,-100,-721,88,35,600,852,-472,-918,1744,-672,1064,-718,4595,-5867,-3129,1309,4175,-2918,1341,237,936,-1633,-390,1348,-655,-539,1252,-1560,1876,-2110,2336,-1884,1238,-2106,2803,-2371,1995,-1726,2929,297,-1139,-2827,68,2042,-1682,991,-306,1990,-3438,3173,-1310,518,-1573,1853,-611,-166,-395,580,-244
-67,134,444,33,-140,1163,2779,-2131,-7252,2024,4775,-1832,-1552,1970,1158,-1843,-591,1613,-708,-1642,2468,-1659,1274,-1727,1707,-609,-152,860,-1516,1961,-2008,2059,-670,408,761,2261,-4598,-1956,2659,509,-747,-284,1366,-587,-1719,3092,-2231,752,-1275,2009,-1376,737,-554,559,-2394,2094,-1059,449,85,-890,1848,-1268,1629,-442,3444,-6636,-1297,2790,2626,-3552,1209,338,777,-1812,998,382,-913,760,-645,559,-183
1071,-1118,944,-1877,1991,-1742,1653,-1375,1375,-733,4887,-5579,-3353,3638,2144,-2225,-143,2195,-2426,792,-937,2543,-2352,-120,1395,-955,701,-1923,1503,-1054,1205,-111,-495,1091,-1362,2784,3112,-4788,-9767,7478,3866,-1501,-2654,2133,424,-1544,166,744,-910,792,-843,970,-1130,2121,399,-964,825,-1599,1650,-2081,2550,-1420,1600,254,3805,-7232,-1733,2756,1966,-1718,-340,1424,80,-1098,1023,-1444,2209,-2184,1796,-1817,1842
1739,1204,-4815,-2391,1706,1333,157,-1431,3228,-1699,356,-1595,1546,-25,-461,49,73,272,-406,122,962,-1669,1761,-2096,2807,-2441,1890,582,1182,918,-1943,-4865,1784,2024,143,-2465,3624,-1642,1128,-2540,3016,-2146,602,300,24,-272,310,87,89,-867,2175,-2102,1738,-1757,351,-728,608,237,-589,568,-266,1896,3471,-6187,-4066,3062,2104,-1095,168,258,564,-1174,422,1335,-2385,1231,-622,1423,-1614,884,-636
1759,-1961,2007,-2374,2366,-1188,1144,-43,118,3634,33,-9018,291,6231,-637,-1398,-656,3372,-3074,574,660,-210,-739,307,792,-987,702,843,-416,-113,816,-585,3639,-1136,-3454,-2676,4790,-1890,1158,-1786,2923,-2024,-101,1327,-753,36,-318,394,-12,-1117,2176,-2173,2005,-1826,-70,-257,488,-1926,2833,-2082,2288,-2385,2993,1857,-1734,-5139,785,2335,-574,522,-757,2408,-2646,1399,-859,785,-702,-47,313,-220,40
436,880,2283,-6373,-1676,3421,1131,-2403,786,1114,215,-2428,2468,-373,-1176,519,-230,681,-1042,765,-456,92,945,-1477,1506,-1295,1749,-137,516,-1446,1804,-1605,2233,-454,9,685,3879,-7320,-3486,5289,1213,-2339,60,2067,-14,-2920,3117,-1733,707,-1255,1983,-1998,1775,-817,-2108,1576,-1808,1701,-972,-186,825,-394,1593,3084,-4135,-3458,1198,1296,-1135,1706,-460,758,-2079,2024,-919,494,-929,347,218,-80,-46
-572,-13,682,-621,1192,-1129,1698,2019,528,-8753,388,5755,-610,-3094,1809,2299,-3442,1241,91,1156,-3135,2578,-307,-595,-48,327,-236,1690,735,-666,-4285,-799,2460,1830,-3230,1293,2160,-1905,-607,1516,-689,39,-1563,3188,-2848,2065,-1476,1273,-431,-317,463,283,-365,232,84,21,1205,2472,-3549,-3433,1463,2426,-1973,1650,-1212,3029,-3751,2097,59,-496,-553,481,343,-281,-486,979,-965,1324,-1613,2280,-2322
850,-1464,617,-101,-543,1807,-1999,2481,-2505,4603,661,-6556,-3361,7186,-898,-1222,-316,2168,-296,-2502,2840,-635,-1119,-468,1229,640,-1913,1212,2016,-1997,-3486,-133,2470,-907,988,-1102,3049,-3511,1555,-1014,2310,-1804,213,456,-248,-286,530,-203,280,-1086,1917,-2065,2548,-1738,1803,-1756,1668,-2892,3032,-1697,1151,68,-470,1124,3403,-3796,-5152,3452,195,992,-1840,2609,-1319,362,-873,1530,-799,-378,394,-456,380
