1484,-30,-1297,1334,-573,-115,2688,-1066,-857,-252,-3002,1895,1807,-1964,282,402,1000,-24,-2590,1800,1286,-2151,246,471,168,627,-1789,-1068,93,1334,-1776,637,956,-1678,1829,880,-27,-2766,-2920,3358,1887,-2143,-98,775,1471,-3185,739,1910,-1218,16,-1294,2296,-868,-1477,-550,-236,1671,-1706,1436,-1023,596,385,-1125,3330,383,-4969,-2357,4234,729,-2229,1056,666,-53,-2404,1913,1142,-2945,1444,197,-335,-61
1714,245,169,-3058,-216,1828,-1198,132,6,2645,-1764,-2138,3052,-779,-549,-493,579,1088,-2087,914,562,-751,378,-80,440,-90,-696,-709,78,914,-943,2765,-1494,-2198,545,405,819,-2089,2399,228,-2090,1295,-302,989,-1768,473,1586,-1949,379,401,379,-672,-767,1749,614,-1651,1669,-349,-657,663,-478,1177,-1694,1738,2006,-2368,-3080,603,3106,-1751,-132,953,82,-4,-1983,2710,-573,-1451,981,3,351
-365,670,-1471,1302,155,-890,1038,570,1860,-4163,-1347,2668,-300,57,-1651,2532,532,-3284,1781,320,348,-1592,162,1921,-1953,520,250,-768,1503,-906,1457,-199,-2659,355,-1051,2475,-933,-661,1750,-1506,1020,-1245,288,553,-1071,1430,-1311,782,368,-1034,1113,-332,-646,850,-1278,1049,-623,121,2893,-2141,-838,-877,465,799,-2123,2047,-170,-694,-152,333,990,-2167,1422,388,-842,283,-549,866,-368,-926,1472
825,-1273,1051,-589,-504,1294,-1373,1341,-1331,1993,979,-3732,567,39,970,-1272,122,1840,-1264,228,-529,1806,-1467,-622,1791,-1205,673,1117,-889,2089,-254,-2344,70,594,704,-2179,1618,1138,-1601,30,-691,2740,-2694,-528,2540,-1033,-194,-537,1196,47,-1503,1261,379,-868,279,952,-846,709,-1124,1336,164,-1227,2171,567,-1237,-4212,1636,2744,-1389,-286,-134,1911,-1889,-947,2757,-1552,-192,52,420,266,-1407
-2577,828,-1470,1830,71,-903,1326,-1114,1430,-1297,-231,1511,-1402,505,71,-108,307,-728,960,-267,-1207,1303,-24,-868,754,88,-386,542,-556,1001,-1595,1679,-949,937,1806,-2204,-1910,-1292,3438,-629,-1218,1614,-492,222,-1174,1386,-473,-802,1222,-888,350,-298,123,929,-908,1558,-1600,663,898,-1292,2921,-696,-2712,-449,166,1792,-2892,1064,2277,-898,-1352,-128,3071,-2601,-858,2464,-792,-387,-335,589,462
1372,-1326,2045,620,-3285,364,140,588,-764,112,2104,-1962,666,-483,518,281,-1749,1989,-440,-742,591,-598,784,-503,34,528,-808,-659,1602,-1576,970,182,-559,674,-1401,2631,592,-1779,-2053,-90,2302,-1086,191,87,653,-671,-1245,2389,-1563,-74,973,-860,836,-872,-28,-311,635,-1401,1738,-718,-518,1023,-598,3340,-2208,-3429,560,2175,-513,-2130,3470,45,-2359,412,621,1488,-3093,758,1968,-1709,5
704,-1114,992,-101,-786,1168,-866,1122,-1126,3145,-1222,-4814,2858,572,182,-2125,997,2523,-3024,853,278,581,-1140,-646,2114,-1496,397,-1576,825,243,1141,-326,-3544,523,677,1592,-1357,-796,2903,-1377,-348,-499,938,-8,-1498,1850,-612,-11,59,-529,1216,-721,-431,1070,-787,1240,-984,589,-204,-564,1638,-1898,1297,2527,-480,-4302,-1840,4534,-226,-2417,1653,1098,-130,-2834,2818,524,-2238,318,60,1383,-1552
-45,-590,707,-1156,1611,-451,-1026,2049,-1171,2177,-98,-3885,158,323,1555,-709,-425,1435,-1417,880,-490,196,-189,-441,1016,-946,-16,-867,733,328,-778,1230,-1282,845,215,-791,3529,-1161,-4068,167,915,1750,-1571,1107,805,-1675,466,112,968,-1716,17,1570,-1195,-435,166,-1108,1904,-1650,792,-451,1224,1346,-2205,-518,-1796,1448,39,640,-179,-124,1314,-2099,1355,-456,-522,1170,-1201,894,-362,-9,549
-991,2125,-620,723,-1136,-2153,1060,488,1310,-2367,1135,1984,-2520,480,120,696,-1194,-248,1928,-1358,-263,663,-24,180,-871,984,331,-741,570,-206,212,1810,-3781,847,949,-447,577,-1852,2569,-1300,-573,707,-440,936,-1463,881,180,-447,349,-746,1285,-612,-410,825,-572,704,-772,1121,-1499,1371,189,-1046,1451,322,1513,-5132,-868,3559,383,-474,-1803,2267,186,-2067,1466,-242,216,-1320,1164,890,-1826
-38,1016,-1301,970,-556,236,1139,-1073,2341,-2117,-2098,1683,-641,596,-710,1278,578,-2382,1778,40,-87,-1053,461,1267,-2172,1066,848,-609,1757,-1637,872,175,-432,2524,-1230,-1843,-1612,763,2245,-1379,78,240,140,-287,-552,1330,-1496,480,532,-1004,550,7,142,204,-548,-246,1054,-1299,987,-266,-550,1127,-1917,2722,768,-3746,124,456,942,-1580,198,2026,-637,-704,-1232,2799,-1189,-1241,1313,-594,527
-859,1584,-1624,1134,74,-1118,1100,-1442,2004,1726,-870,-4536,-1031,3718,464,-1390,-348,2004,-476,-2755,2732,-313,-957,620,-142,871,-1302,-849,1706,-1106,312,444,-1192,1445,-1129,714,2218,-1186,-2528,-702,2143,-1304,-182,1542,-732,598,-1873,1944,698,-2527,1743,-195,-322,-179,-853,1018,-1108,1454,-608,-220,2209,-197,-1885,-2432,1975,1692,-1499,444,-255,1146,-1636,94,1845,-2127,791,168,-371,388,-681,978,-450
1510,-488,-597,1326,-1197,1020,-1103,817,680,-692,3567,-2925,-3298,600,2486,-188,-2398,2768,-270,-610,-664,431,1681,-2320,667,955,-649,258,352,-730,1157,-1496,2343,621,-2870,-889,41,2987,-2167,-123,1819,-1254,1035,-1497,1371,-461,-1011,1663,-1061,837,-243,-160,761,-1223,1232,-1099,728,184,-237,2658,-2518,-1212,-767,1109,1125,-2506,2503,-124,-846,-474,294,1821,-2597,688,833,-734,60,-667,1520,-939,-634
353,-1217,1185,-382,271,81,-590,1418,-1869,2172,1787,-3235,-2012,-490,3777,-1180,-2038,2800,-102,-554,-1770,1800,531,-2192,1204,179,69,938,-824,1131,-1401,253,1202,-1778,1534,1009,111,-2982,-1901,3734,-977,-989,342,1268,390,-2859,2158,232,-813,-361,31,1526,-1802,346,-1786,1377,162,206,1328,-2925,75,-933,1159,1186,-1833,1687,-384,10,-563,-142,1343,-1565,1117,-265,-610,1114,-740,263,290,-643,586
349,-1308,1472,-758,-327,1266,-1432,1447,-669,2365,-1006,-5175,3712,437,-1267,-172,245,2059,-3043,1477,613,-500,-476,-555,1782,-1206,-472,635,-1307,1425,-711,-325,2507,81,-1713,-2568,700,1887,-656,-68,-399,1787,-1849,-157,1441,-1188,1083,-1226,641,834,-1788,1256,-127,-283,559,-1677,2127,-633,-793,936,-1020,2042,-1501,1941,126,-3812,-802,2346,1478,-2813,1132,886,-654,-728,-281,2479,-2650,19,1661,-996,434
1044,-1492,895,370,-1051,1411,469,-472,-3186,1253,1772,-1726,751,-687,1956,-1538,-1070,2653,-1650,727,-930,144,1012,-1791,1093,-102,-48,-1024,1107,694,102,1132,-3477,-1113,735,1832,223,-1787,2346,-1120,-273,668,-1271,1416,-989,280,370,-873,1129,-530,-86,489,-704,779,-386,-2101,1904,-678,-1042,1204,-710,1983,-1953,-69,1608,-1586,667,-655,576,386,-1339,1407,-869,138,720,-1051,772,63,-672,940,-790
2340,-3071,-332,-568,1136,132,-982,2093,-2188,992,185,-1254,667,-311,978,-1467,572,1161,-1153,377,-290,230,228,-1114,1349,-247,-741,739,-1082,337,447,-868,994,-1159,1473,-901,-87,3678,-3439,-1245,420,828,260,-2323,2862,-367,-838,-385,231,1584,-2062,701,583,-628,452,-1053,1279,-1025,453,508,-1308,3142,-1889,-836,1285,-1751,263,207,995,-1662,-149,2165,-1499,32,-233,1374,-788,-1404,2058,-548,-952
-631,1033,-1062,1167,-940,176,738,-1074,2285,489,-2681,-2658,2602,737,-2468,2078,-306,5,-497,-288,1936,-2352,831,767,-940,133,-2,-814,-154,763,10,2011,-3535,-107,1524,-649,398,-2010,2609,-218,-1920,1411,-620,762,-1550,878,901,-1375,751,-400,448,48,-699,839,-936,770,-610,489,555,-1557,2802,36,-1896,-2179,-29,3170,-2137,163,481,-445,831,-1759,1764,-593,-447,540,-621,1237,-1032,140,751
1308,-948,158,803,-979,2121,-308,-860,-1781,-68,2408,-3014,1485,1014,-177,-851,-1163,2971,-1954,-107,896,-143,87,-1090,1380,125,-1434,-456,639,-1123,908,522,-1887,2013,276,822,-1895,-2643,2882,-1565,210,1138,-635,986,-1573,1350,-415,-683,1059,-1022,899,-721,-46,1218,1346,-800,-212,1073,-1688,1862,-1087,82,1402,348,1161,-4494,-95,1936,439,-390,-687,2394,-1660,241,-90,249,363,-1823,2136,-746,-848
433,-997,1362,-689,-413,1347,-1593,1409,-813,1110,1811,-4056,455,468,-94,-190,-339,2183,-2122,554,108,152,276,-1717,1653,50,-1185,1119,434,-1184,991,-1094,1417,-672,-897,1904,-47,766,-4065,-340,2579,393,-978,-1130,3210,-1852,-1211,1956,-1017,529,-1280,1417,403,-1971,-54,309,-1786,2413,-839,-707,977,-894,1303,-1569,1325,2890,-2129,-4639,1508,3264,-2648,397,1524,-95,-614,-1845,3953,-1514,-1898,1671,-102
-387,571,-428,-493,1756,-1490,680,797,937,-1794,-2825,2364,-91,160,-125,-324,1895,-2347,1160,227,-1154,1065,-899,844,-299,-200,802,274,-944,1395,-818,300,267,-634,625,-874,3312,-1387,-3879,1566,645,691,-2211,1207,1977,-2586,650,-14,904,-615,-708,1116,-393,-336,-614,92,1477,-1034,971,-2191,-1660,1603,327,1157,-2118,1604,993,-1912,585,-287,717,-851,-149,1067,-801,395,-35,-333,967,-747,-296
-1075,1041,-326,91,-44,-834,1593,-637,2155,-1890,-2629,2382,-993,1386,-1553,874,1375,-2635,1598,-324,699,-928,-85,1418,-1407,687,-131,-377,-230,885,-1216,956,12,-342,860,-1483,3838,-651,-5215,804,903,2108,-2097,485,1803,-1725,591,-781,1105,-850,-350,1134,-1245,1093,-123,632,-1255,1100,-659,33,756,-1805,3060,1036,-2628,-2261,-3,2932,-2491,401,2152,-551,-704,-884,2716,-1688,-804,1078,-534,443,-688
-749,1161,-1408,827,660,-477,2355,-2662,-328,461,-2132,1864,-812,1521,-1346,-8,2054,-2183,373,344,526,-926,-654,2300,-1364,-474,1440,1227,-14,353,-3146,1878,414,-1566,1534,-961,1596,-1500,328,1004,-1283,871,-977,1561,-928,-292,900,-1306,1193,-432,-279,830,-1017,701,700,-1285,790,711,-1235,1201,-1039,1647,606,842,-3443,-2754,3681,181,-88,-841,512,1620,-2461,1222,-35,48,-438,-117,1419,-1715,995
-241,656,-433,763,-785,-278,1648,-2013,1478,2917,-2018,-3503,-735,3061,-1126,-1242,2695,-509,-712,-742,1541,-196,-1702,1753,-338,-926,688,728,-981,546,629,-998,1056,-1082,1454,518,-2006,2422,-2992,-745,2115,-423,668,-1837,2586,-395,-1528,887,-501,724,-1465,1043,690,-1620,529,-1118,1110,-158,-1021,1618,-1569,1314,-757,642,2666,-4231,-171,504,938,177,-1735,1636,-21,-38,-1631,1983,-233,-1370,1269,-651,1072
-34,-623,1723,-1527,689,485,-1171,1862,-457,1631,-1494,-3800,1211,2222,304,-2478,1134,1035,-1581,416,-569,1616,-1599,4,1752,-1546,678,1388,-106,-1156,1550,-1250,339,513,-1042,1424,-950,2877,-1930,-3988,2487,532,-125,-1720,1871,1400,-3328,1557,72,758,-1324,-709,2432,-1548,1736,-1008,-782,1875,-1336,749,-713,560,1274,790,-599,-4765,1898,1573,-157,-707,-149,2311,-3321,871,1983,-2003,491,-275,817,-419,-731
216,-541,432,-1203,1436,-548,-411,1002,-751,3114,-2117,-2977,1464,-80,776,-2085,2161,272,-1739,1438,-663,1099,-1371,30,1376,-1449,818,-1594,1324,223,-987,689,-957,1598,-1116,414,2508,41,-3794,-2946,3878,265,-774,639,-226,1639,-2958,1476,1086,-1766,612,-453,1350,-952,-1288,1331,-773,1373,1093,-3655,706,449,408,-630,-994,2760,-1794,179,258,-139,559,-1684,1475,-138,-517,363,-495,715,-407,-475,1124
449,-857,991,-876,1240,-1001,-269,3146,-1207,-1397,-2393,1161,1135,-1440,2134,-1130,564,-410,-828,1283,-1395,838,-422,113,429,-823,1308,538,-1291,1666,-737,0,2593,-1964,-1443,-1047,2070,-210,-1715,2513,-952,415,-1021,419,1192,-1715,666,-118,34,207,-1019,1484,-723,-567,-1006,1063,-321,-1081,1765,-844,1456,-864,-1131,-426,-1700,3115,-849,-602,564,-11,1187,-2261,1434,-148,-383,224,-1025,1704,-970,-128,972
966,-812,143,516,-1164,1401,-951,226,738,-121,2805,-4746,-589,3164,-1521,608,-1183,2263,-559,-2000,1718,-278,324,-1383,1348,289,-1555,-866,1770,-1576,1006,-363,-216,2790,-1783,-132,-2812,-51,3121,-1800,741,-522,1269,-948,-657,1659,-1504,477,-331,398,435,-1303,1092,111,806,-1690,1869,-699,-643,992,-1375,1882,-1135,2053,751,-5447,475,1723,862,-1825,748,1658,-1511,234,-449,1328,-1574,278,1499,-1887,1143
