345,512,-772,-174,726,-684,1240,-1512,804,-535,1049,-1039,686,-845,783,
-1241,1675,-683,75,-780,1189,-546,841,-1645,1060,71,27,-244,-682,908,
-388,506,-843,568,-1018,2269,-1892,702,-719,789,148,-769,210,-210,781,
-154,910,-1424,1467,-1552,1657,-1023,67,91,-74,478,-711,-167,1126,-822,
613,229,-1022,587,-556,1523,-1310,102,69,-204,1289,-1563,715,-937,1652,
-1100,964,-141,173,-340,-555,1066,-666,133,356,-950,1845,-1666,874,-1017,
430,-1105,1312,-961,576,-474,178,473,-806,-98,967,-813,530,-1240,1877,
-1174,1458,-1034,858,-838,99,604,-576,1,199,-319,1066,-1685,1339,-1254,
665,-1263,707,-179,740,-973,561,-585,1038,-1119,850,-864,1075,-572,-537,
-134,3,-61,-743,1491,-1113,246,96,-367,1111,-1724,1249,-1034,1473,-1047,
232,-600,536,-612,814,-603,65,-177,721,-627,566,-1621,2514,-1792,510,
517,-684,660,-1412,2148,-1463,203,-170,268,415,-701,-265,1076,-918,820,
170,-463,88,622,-907,842,-1129,1326,-560,-612,1097,-901,1080,-1491,879,
425,-259,992,-1023,-88,526,121,-317,206,-383,1100,-1730,1858,-1680,1499,
-377,1285,-1144,520,-745,1046,26,-1055,821,-623,1339,-1280,220,-150,1040,
-173,946,-1666,1499,-984,845,-595,43,186,-99,-200,591,-1187,1909,-1606,
1187,-828,85,-309,826,-716,685,-1476,1794,-1052,426,-597,456,329,-914,
-825,1056,-612,189,436,-1174,1864,-1640,723,-576,879,-130,-538,-188,839,
859,-781,-121,221,489,-569,549,-1588,1986,-1308,659,-912,795,389,-1162,
492,-945,1309,-1029,508,-346,52,566,-650,-348,911,-573,660,-1548,1932,
-1335,1554,-1139,1130,-1222,643,74,-139,66,-450,273,720,-1158,771,-1158,
743,-1159,730,-589,1053,-1099,664,-606,798,-761,765,-949,1032,-382,-697,
-93,294,-676,-41,888,-726,54,56,32,773,-1479,1293,-1554,2302,-1514,
-38,389,-156,61,-1287,2104,-1367,390,-618,854,300,-1413,1020,-685,1212,
462,-1358,2180,-1687,542,-561,695,148,-829,91,299,165,107,-1345,1348,
-334,524,-1442,1317,-644,836,-685,-371,1091,-507,-455,585,-615,1147,-1455,
-52,-836,651,260,-306,202,-841,1523,-667,-627,910,-718,1178,-1681,1168,
656,-521,1182,-1376,508,-41,456,-381,-312,11,1042,-1428,1350,-1719,2055,
-344,497,-13,-519,754,-950,1650,-1588,729,-586,1049,-838,563,-1036,1470,
269,568,-1392,1491,-1458,1472,-886,20,128,-125,358,-117,-958,1813,-1538,
503,-164,454,-380,-725,1105,-803,434,174,-954,1450,-1245,882,-1243,1300,
131,-1171,1500,-682,219,-312,-402,1046,-668,-339,680,-719,1408,-1768,970,
1389,-952,970,-1017,406,303,-335,-28,-48,8,785,-1480,1164,-1203,1863,
684,-1173,746,-460,927,-1015,626,-625,838,-794,883,-1048,982,-450,-401,
-408,-394,1010,-792,174,178,-243,898,-1622,1295,-1159,1706,-1231,-137,361,
394,-1076,1674,-1480,1025,-1151,891,200,-409,-519,638,-31,-35,-776,1351,
-786,764,-638,1260,-1271,120,469,-10,-280,101,-326,1161,-1745,1568,-1367,
178,356,-819,600,-508,1245,-1295,575,-640,1101,-901,511,-838,1333,-816,
-226,1006,-1714,1660,-1180,980,-757,-19,387,-225,81,229,-1017,1995,-1837,
774,-923,1639,-1623,599,-555,1162,-825,310,-722,630,85,-361,651,-1664,
904,-868,1371,-1869,1178,-335,654,-450,-386,408,261,-453,479,-1010,1661,
587,-598,173,-124,574,-839,868,-1211,1790,-1068,-152,670,-803,1337,-1503,
643,-1345,1282,-1531,1902,-1290,484,-540,148,481,-193,-102,-581,979,-545,
-1549,1845,-1249,783,-618,78,136,503,-799,226,-21,-65,1068,-1888,1423,
