-690,-888,2161,-2387,1943,-25,-1160,962,88,2277,-2270,-3392,1416,1033,439,-313,-2052,3802,-721,-2187,1126,-598,2240,-1559,-1055,1630,-253
-1679,2330,-1153,-865,1511,-1411,1098,180,-1814,1797,-1052,1937,78,-1451,1744,-2438,2280,-499,1663,-3353,-1824,1523,2508,-699,-1601,1498,119
-48,458,142,948,254,-591,-4140,3281,-174,1095,-3466,3518,-238,-1366,418,20,574,-1467,1301,-123,-946,630,-582,1663,-1914,1068,199
-706,1483,-1353,-151,1655,-1846,2249,-1569,-137,2176,-2235,1007,652,742,-2179,-2488,437,2527,294,-532,-1368,2297,-240,-1669,611,-1119,2417
-910,804,-658,631,-345,-427,1729,113,2023,-5481,-1380,3167,535,-104,-2129,2463,945,-3739,2829,-320,-47,-1256,1145,353,-1766,1999,-1324
1112,-906,279,983,523,-1438,-2876,1641,1371,257,-2281,2691,-684,-319,-1373,2026,-483,-1414,1538,-389,-191,2,-293,1361,-1826,1581,-1460
-1227,1662,-1583,1450,-1291,1026,-1562,1081,790,1160,-385,-3688,477,270,1851,-787,-1029,2502,-1933,1360,-2288,2790,-1247,-909,847,225,-207
701,-1358,1811,-909,171,867,-1729,1876,-1518,1531,-1980,2328,-72,-2381,-723,1813,305,-1811,1204,824,-495,-1380,930,1140,-2019,1043,-518
-679,1275,-1214,272,364,1939,-1467,-3771,709,1573,1391,-3128,3172,-1107,-197,-956,2156,-871,-1109,1011,-33,-122,-322,104,825,-1770,2016
184,1364,-2207,1841,-1018,632,-416,-765,1811,-2214,2471,-1415,727,-798,-103,1614,-191,899,-2622,-1627,1391,1436,-768,-955,2462,-1176,-413
741,-1255,2228,-1869,670,469,-250,1671,-3066,740,-1312,2278,-1404,885,437,-502,-213,-207,576,-652,127,467,-37,29,-713,1495,-1351
1881,-2453,1370,712,-2162,2252,-1512,511,38,-915,1573,-1162,-442,1086,-309,-70,289,-1019,1153,363,-1353,1423,-1326,1069,-654,-902,2201
-1268,-366,-130,42,1844,-980,-542,1385,-1633,3535,-1679,-2972,-149,-244,2755,-483,-161,-117,-150,288,-158,-443,229,278,307,-1028,-357
-930,1105,-2135,3221,-2240,1395,-991,317,512,1169,629,-4275,-729,1686,1897,-2319,822,863,67,-1237,488,1591,-2672,1606,-812,1183,-953
1419,-1617,1042,-387,549,453,-1359,1977,-1986,3062,-1367,-1400,-2089,2389,293,-1426,1333,1170,-1065,-1393,1793,7,-2534,2396,-1017,834,-1169
993,-801,362,492,-1391,2045,-2365,2349,-933,1184,1278,-4274,-412,389,2864,-1857,-351,1184,740,-2087,680,1356,-1604,676,-889,2138,-1815
-508,856,-355,-1194,2142,-1415,1699,-1769,2015,-556,668,-3598,227,1546,674,-982,-296,2485,-2700,449,638,-423,591,-1619,2600,-2079,867
1048,-1239,2158,-1575,384,942,444,168,-4577,1899,-330,2147,-2215,1341,815,-1335,162,-62,1147,-1036,-384,792,-351,-38,-713,1787,-1747
1274,-1055,1179,-1181,690,848,-1154,1236,-1002,2542,-2653,-2085,1386,1068,-201,-918,1872,-852,-636,-652,2329,-1790,-80,1016,-1029,1072,-1318
701,984,-1736,1438,-703,797,-913,16,1397,-167,2035,-5507,580,-195,3285,-1185,-999,1990,-1131,-82,-411,938,-42,-1607,1186,-89,691
727,-1855,2554,-2165,2195,-1373,832,911,-1774,-1466,-26,1957,-609,20,-319,1408,-1675,539,351,-636,562,-1243,2130,-1291,-69,832,-1226
-1123,1202,-231,-513,237,-413,1436,-1532,1839,-1619,3539,-2731,-3395,603,2453,646,-2582,1634,1028,-1551,-30,645,791,-2255,1754,-622,503
1073,-2487,3278,-1686,710,-232,-354,1161,395,-1357,-2476,1118,923,444,-1217,1663,16,-1666,1061,-757,1314,-1678,1051,207,-834,1137,-883
-710,971,-1061,297,632,-761,1138,-1527,1644,-1144,3660,-4631,-538,92,1854,-110,-1325,2338,-1507,41,-133,652,360,-1686,1397,-1026,1718
1155,-1252,1343,-1826,2197,-2072,1514,175,911,-2419,-289,1484,-1615,418,-367,2630,-2015,-466,1476,-1378,1315,-2004,2223,-951,-415,202,518
1534,-1780,697,-729,1136,-212,-426,1396,-2399,2669,-1862,3049,-2204,-682,-846,202,955,-1063,444,783,404,-1109,-122,1150,-1255,512,-525
1006,1205,-2067,-961,-98,1205,-1740,1839,-371,1197,-2551,2517,-988,-809,663,-477,759,-749,115,402,-894,1380,-1777,2029,-1452,599,154
-285,1562,-2,-1140,-3061,2336,-71,972,-2323,3034,-1102,-669,89,243,692,-1497,881,111,-884,815,-860,1670,-2161,1846,-1244,577,574
-1274,1455,-1739,2697,-2262,1468,-400,106,-21,1735,-1181,-3781,659,2290,620,-1908,925,1737,-2978,1783,-716,1393,-1817,351,679,-824,945
-1050,1754,-1055,346,291,-1544,1949,-738,663,-245,3243,-4902,-842,519,1304,255,-143,1108,-347,-258,-70,-865,1363,-383,183,-1030,276
-1103,839,-116,-846,1336,-1183,-212,1863,-1818,1324,-2228,4258,-1715,-789,-548,-1254,1536,-270,918,-902,517,-382,114,194,-231,-86,-571
80,-963,2212,-2565,1089,1317,-1693,1509,-620,1578,-2251,-2184,1329,1661,91,-1211,-1019,3066,-1242,-1401,1144,-720,2077,-2447,-123,1624,-496
414,-252,956,-1569,2358,-2865,2282,-1310,1401,678,-1430,-1948,-488,1986,-364,-242,595,391,-382,-1196,2266,-2072,1501,-1551,1345,-434,-702
-618,1625,-1582,1192,-610,-183,1504,-1215,2686,-1841,-1229,-2342,2340,112,142,-647,1785,-1180,-269,628,-805,744,-727,246,774,-1516,1774
-728,2948,-2595,-2031,74,1086,694,-527,1390,-1497,1336,-1552,1800,-1879,937,-399,-254,1183,-1482,400,232,103,450,-1083,1445,-701,-191
577,-447,538,146,2287,-2892,-2968,1643,1716,298,-2047,2337,-674,185,-1685,2189,-1434,325,-91,52,767,-1663,759,687,-769,1046,-1480
1298,-88,-502,737,-1472,2299,-2275,2377,-1030,1192,69,-3228,330,-11,2501,-1747,683,-103,733,-1610,717,293,-323,-229,-396,1930,-2079
478,-51,-135,583,782,1115,-5560,306,1460,2396,-2784,812,2332,-2800,404,122,1122,-1454,-290,2009,-1820,1256,-1040,1468,-1462,693,250
-747,162,474,-1251,1880,-1938,2062,-2575,2368,-476,215,2489,-4010,-1461,281,1895,259,-1424,1596,121,-442,-580,465,-557,1165,-1574,1607
-1641,-2679,2058,388,576,-1407,1812,-394,-1128,1228,-1889,2272,-1520,438,32,-433,1150,-1447,1482,-842,501,-564,729,-126,-298,583,-688
728,-949,752,-724,-170,1474,-1765,1874,-1461,2261,940,-3229,-1732,554,2726,-1290,208,-518,2207,-2820,1324,-220,216,-497,-200,1526,-1358
