1072,-700,-436,1945,-1160,1221,378,-3264,1281,762,-1779,754,-517,335,1811,
-466,-721,1732,-931,305,1447,-2562,-377,1768,-1228,826,-153,-864,1937,-2167,
1362,-947,863,-1385,1517,-765,982,702,-2251,748,-1021,651,305,-1599,1869,
429,496,-1490,2135,-1080,140,1658,-1313,-872,-1495,1798,-124,-1250,1834,-1456,
981,-1846,790,-1301,1123,-70,-1114,2318,-2150,1235,-390,-114,971,-1983,1928,
703,-1389,1579,-852,429,930,-860,733,-2777,1789,-475,-1080,1732,-1086,1471,
-1283,1636,-1307,822,483,-120,1759,-4099,817,251,290,-334,-497,2779,-2532,
-112,675,-1308,1584,-605,629,1439,-3708,547,254,1219,-996,-560,2241,-2315,
-253,-679,1155,-842,388,-244,-51,788,-1471,1748,-1025,2384,-430,-4362,2058,
-656,1984,-1251,-917,3481,-3047,1134,-394,194,892,-2346,2257,-513,-601,350,
-142,-255,799,-972,1129,-1026,-422,1789,-950,1649,-1854,-1531,1868,-1546,998,
326,-80,-721,1126,-1162,419,798,-1122,1373,-1212,2065,-179,-3426,2427,-985,
405,132,-1098,1802,-1147,-379,1256,-913,2471,-1897,-1378,806,-796,1518,-1592,
-264,928,-995,45,561,-947,1014,-557,156,913,-1314,3233,-3187,-1933,2190,
-173,416,-1720,2150,366,-2604,2670,-1675,1139,-466,-1028,2015,-1582,349,463,
1277,-1645,1312,-523,-238,1300,-612,1496,-3187,-560,1975,-632,597,-1075,1772,
-1035,1433,-893,43,829,-1521,1767,-1132,-41,876,-1260,2306,516,-1084,-2966,
-692,305,331,-324,2013,-1753,-1388,1379,89,289,-2308,2381,463,-2212,1669,
-234,447,-801,1365,-340,1545,-1452,-3258,2328,135,261,-510,125,1532,-2907,
-719,375,716,10,1599,-2785,-793,1726,-1010,794,-931,1085,427,-2316,2286,
-236,211,51,1665,-1984,-1651,2465,-237,-1351,76,617,1521,-2699,1453,732,
204,-660,534,277,-576,2111,-965,-2810,2287,-183,558,-1842,620,2300,-2929,
826,-147,1503,-675,-3270,2574,-552,-325,222,62,1281,-2459,1580,145,-1448,
-138,-249,519,-598,319,1195,739,-2000,-1565,1993,555,-3229,1153,1988,-594,
