414,783,2205,2369,317,490,358,1542,2617,1597,261,3,988,1457,672,3975,232,274,1176,378,1050,2900,1265,435,1533,1544,395,1884,782,27,533,699,5,5,1090,1715,1163,618,1508,1767,2252,2537,608,1194,1382,1200,34,450,182,123,385,1059,2610,1063,1800,193,1311,3673,1120,207,196,1356,675,303,456,223,682,1855,694,1220,1746,1529,1604,2283,2424,2105,1102,742,630,595,75,72.60382940918261,380.74992114411174,290.49740216219135,397.8113393196786,410.8311065693542,300.9910414360599,201.49613837164316,212.26670339598687,106.98514797166875,114.63391712621588,137.06930345721295,14.568754573334624,67.22526225382046,0,0,3
451,172,837,1260,1051,1545,1977,2449,2417,1590,1091,849,1296,52,519,2142,4340,1925,2097,1077,1728,308,1851,512,775,398,1503,92,20,185,295,184,414,238,575,1665,1964,2085,2046,2109,1901,960,63,1069,1085,718,1491,1649,1598,393,1917,665,1614,2489,867,161,1674,958,7,1322,662,447,94,137,931,1921,2316,2151,2131,1825,1647,635,14,264,747,216,2,633,1333,1708,1788,298.39617640463746,57.26889386307146,349.59465748964817,165.80503700822018,467.81798970532174,151.03038287451733,395.2615207951512,359.5955261019713,403.15823546168644,224.0767363975425,71.73040063003727,187.09803654241713,72.68260004585935,3,0,3
1250,1075,2159,2229,367,193,343,426,971,1651,3753,2740,2821,635,777,31,196,1831,2962,2426,1046,164,269,415,16,671,569,29,472,915,813,971,1981,3157,2329,1522,1753,1580,638,491,945,1581,1706,516,837,529,11,1456,1749,3206,4504,1400,4076,1717,1108,1904,815,2028,986,570,453,1498,2452,2440,1982,1501,1531,894,9,751,421,528,1025,241,190,1719,2669,1914,1372,1595,1137,522.0133355233658,299.86759526025577,477.876168265673,394.70817893229525,573.2820291967995,330.960949246627,636.7236889733723,516.769537637653,447.75437836510446,254.27545937342177,238.81578829693478,166.17308585845296,219.41521509808845,0,0,3
792,1010,391,230,700,3211,1859,4666,2006,918,487,1179,601,1155,1562,164,174,1220,1353,265,1158,823,309,1119,2047,1560,556,14,224,8,587,1203,1497,1020,934,1247,238,1502,1775,2082,3390,1977,1297,1647,2360,1889,1744,6896,2750,3785,1555,513,53,2146,2962,1374,183,426,1762,1555,186,518,455,54,60,329,439,445,1400,1751,1353,1713,2446,3105,1795,220,382,469,232,30,15,490.14444932190355,287.23701156519684,527.0176107772245,259.93963788198664,792.8051604902683,173.49906311245988,957.9719306307989,345.18758253945066,510.18174656356126,163.76529046696498,359.7702635721498,157.6506471157717,231.97957940068292,0,0,3
273,892,2934,2126,7104,4592,890,867,2857,2304,551,530,158,1086,534,853,421,677,1109,1643,2091,1734,1149,553,297,602,811,1343,2007,1631,611,112,515,459,645,1372,1362,915,386,312,2478,698,5721,2084,3776,710,1141,273,724,974,3056,2768,1804,1606,554,165,605,389,414,535,102,59,780,1845,2358,1306,773,1458,705,473,867,591,1,304,925,191,3424,4858,3871,3224,3701,525.8953232102181,74.04039827290418,503.24234815306033,260.83246015619125,385.7130837179561,656.4394877661057,376.5085205295116,961.6169671466001,404.5284237678355,729.6555002347035,212.21930606472463,497.6016098419124,244.46821357048805,0,3,3
4192,652,545,1171,2783,2176,282,37,473,538,71,986,1183,172,992,1513,1752,2259,2427,2930,1924,333,294,186,37,1590,1084,34,964,1093,815,1072,1967,1122,3732,24,8018,1058,5022,1045,2592,1016,1619,1157,933,36,2238,2899,2150,1676,1831,1538,1162,526,162,69,817,887,581,521,1432,2288,3016,2146,1035,1658,1402,83,273,186,602,662,1752,2218,5205,4412,6286,888,396,675,1334,527.9711519963583,602.6658941687415,422.6048451275164,663.3173513130091,421.61786978850887,762.9653868566422,501.58462799466537,768.477155456638,612.6859160239851,682.9248393018465,266.2902429436209,553.7317616017466,199.87206876315236,0,0,3
1148,800,113,378,1182,1091,307,460,616,284,1500,1693,1625,2164,2719,2831,1349,258,236,475,560,255,789,781,1339,2212,1798,1761,1676,2332,1451,489,7534,1128,3083,120,1524,286,2173,2623,1532,232,177,136,1157,2306,2419,2305,1736,1196,871,784,159,30,119,742,1097,1373,1698,1876,2370,2419,1763,944,888,1366,314,188,1288,1597,512,7535,1879,1946,646,423,792,1404,1898,12,835,352.2540495631572,410.1831061117655,523.9861600550786,456.5735779023334,561.118130387889,616.8538529443862,548.8042383215751,599.3895044381227,139.14629518529873,592.1154507046709,270.50745042427155,271.89875368134443,100.809380595439,0,0,3
414,312,631,337,309,482,194,36,897,2098,2467,2604,2151,2046,1529,486,557,989,222,742,297,344,1141,2482,1861,3157,939,2704,1875,1847,96,596,198,11,1104,1591,1146,2247,2689,1593,269,242,489,110,454,766,669,118,589,109,457,1864,2530,1757,1300,796,718,1527,1567,794,340,285,547,419,984,1990,6095,781,187,1461,1423,2339,1301,902,989,364,466,748,567,985,1081,278.2056267129975,245.6323583707957,280.09928005656747,230.16371753957105,195.30048803062425,314.86212012752566,71.97515758614655,278.8924021451837,405.9139098620044,423.727831435999,185.8090354697966,311.84029762288304,108.76212499338396,0,0,3
510,285,378,179,56,262,1559,1797,1330,1072,1093,592,187,730,1944,2201,1622,1588,2021,2159,480,2360,431,2068,1622,569,1054,652,311,508,2565,2260,798,737,1195,1236,183,847,740,408,457,548,33,810,1464,620,311,1083,1150,205,1508,1512,1233,219,395,1268,430,1084,1713,1,2880,2516,2477,2762,5533,2909,436,473,3486,2329,699,1880,805,737,783,636,1122,1580,1858,2025,1997,192.25729941543727,394.4156367725616,254.457869442071,407.8237800495324,201.59125880107004,563.2351221629873,319.92701740069305,486.3970732275873,350.6334842610513,294.0413281216754,317.1131199524193,85.6049320644584,120.05386373509103,0,0,3
746,428,349,471,1011,543,445,629,371,852,1678,2272,2832,1804,1522,1457,2037,1669,657,5473,915,3925,904,1981,34,2242,995,1731,1852,447,694,534,1899,1217,214,151,869,1021,269,1086,1159,194,314,38,79,1368,2468,2095,691,629,495,569,698,1408,1424,4914,3321,4317,433,4189,2653,1291,1201,2102,1922,660,1003,793,33,844,1399,617,6,36,785,1776,1962,2018,1395,1362,1149,211.3533501371263,516.7003894268,118.81641992715234,731.1884049079282,163.6269098437051,838.0465825019241,398.70944760756646,709.0813697026147,487.7704524906885,150.26183177780032,371.6155461491444,144.20423401910372,192.57473195163757,0,0,3
