1759,1196,382,91,231,100,2029,1317,5675,359,2133,256,4226,1169,4185,816,2596,130,3120,966,1901,290,2180,117,1673,150,792,959,2886,1871,1151,623,156,2196,3817,828,1246,395,572,769,470,738,1155,1168,358,1598,436,1057,1026,5078,4538,2943,1303,1736,4382,587,3634,158,2140,189,1978,49,367,1613,3529,1333,1679,1421,896,1625,1617,10,1010,313,861,498,131,796,1140,1712,1699,260.7529743031931,484.3924878416698,258.39426987466123,2261.170157133363,0,1067.5669253025778,3022.7290462329274,828.6169490538143,1280.1827577211088,0,589.9708182018455,699.9408314033741,464.4280871774172,885.0724544591608,0,0,0,3
1089,1680,1987,591,118,400,2235,726,3162,629,161,1899,668,1496,283,2532,2158,276,589,1812,1633,631,67,23,98,283,717,901,1169,975,1410,1796,2478,1895,776,828,1537,921,979,928,536,2031,227,1657,6728,3660,2174,4625,980,4745,2086,1072,1192,1656,2408,251,1768,63,2812,2552,727,500,2034,2445,687,767,644,114,1074,1001,110,1229,1422,994,1346,1995,2040,1693,802,2853,1589,408.1387662940416,581.9126630090785,355.0802312579223,479.85455470119524,0,501.2807845908319,987.7179673422672,2030.4692235938217,1270.7846009576997,0,2022.4097120913852,1058.3405411369763,776.6348520785655,465.507402239208,0,0,0,3
1705,445,497,1849,1634,1306,1149,85,444,1138,1125,659,1921,2379,2145,1641,1445,993,536,692,1110,337,138,766,1115,1395,1721,1495,1615,2064,1567,522,860,985,579,1446,868,3054,616,2688,2732,1284,2706,171,1199,902,3276,1498,1098,1095,1203,2299,130,1086,510,2139,1579,285,765,2677,3982,1456,106,1269,1632,247,769,595,1141,1159,258,949,916,2727,1498,968,1226,7,901,1775,202,363.58490466469357,198.66392066686888,327.37780135416074,459.172833693482,0,217.43418544469955,1365.451862146826,1305.5345102961394,1519.1601973018721,0,642.1569344628289,246.86225156604144,917.5315209722507,194.78909391407979,0,0,0,3
828,304,1113,534,630,639,169,1415,1588,1117,1041,1724,2512,1341,451,158,441,244,950,970,1067,526,2133,242,2620,1061,776,2586,196,4392,1336,6428,4713,4805,6206,583,3732,870,1774,326,3650,3212,127,1122,958,1768,335,1053,226,1428,885,317,64,1694,1908,733,28,418,1298,26,991,636,266,341,1937,2209,349,52,1371,2686,4380,415,953,500,1734,233,941,389,392,971,670,533.9641838826395,590.3050159143239,918.0576789904662,724.0753256283025,0,1473.1544292775284,1064.2312476132745,2984.6048104049037,1129.100282464601,0,1273.9798948951889,1544.9681961533975,960.2677875142517,1190.6531209959755,0,0,0,3
224,508,1166,1632,1797,2240,1661,2087,1617,372,234,144,631,1186,533,144,245,65,397,801,2541,7097,514,8851,5070,6002,6656,382,4273,81,4238,2086,1176,11,3218,3123,562,2184,717,60,1226,2497,993,965,742,1169,868,490,239,725,1721,1427,204,175,676,2584,1443,4195,1079,1513,287,2024,3263,396,363,1717,2729,950,1255,1078,602,847,1387,933,27,110,260,559,811,1391,1476,96.99836827174369,632.7688351548193,605.8342362796182,528.5102985470803,0,1686.192926387725,1335.173800461097,3433.3042711513285,2055.3417256654056,0,2008.5477525355914,1570.051923634218,1164.5896858710382,1302.5393233644818,0,0,0,3
1902,1889,1321,1254,2239,1547,188,572,1193,689,904,1707,630,3895,208,5044,5447,2856,6214,611,2187,321,2364,1163,1518,1597,514,1218,439,716,655,1809,1764,1212,1789,2354,2344,780,196,124,315,730,1608,1446,269,100,1332,2387,784,1766,1128,1492,2547,76,1790,143,1774,1024,847,36,1885,2061,1357,1176,1352,1932,1883,1229,416,364,48,113,235,321,721,1595,2082,2467,1814,1113,1344,471.13467647926456,413.14510433746614,339.48395806473036,278.5325109025889,0,889.5943598067605,864.0323647065494,2447.285076520202,1455.309138527835,0,1504.9710379808694,1147.5578069698859,968.9453176306978,1056.0304053618572,0,0,0,3
1111,79,1775,286,4023,931,4024,3302,3727,4980,827,983,618,2582,1404,1258,2116,54,1416,169,1111,341,676,585,231,353,861,877,514,194,586,507,459,367,82,888,1151,1260,2928,3613,2368,1546,1228,3101,3211,32,1438,705,1977,668,946,910,670,2085,1548,623,956,2264,2383,2319,936,627,1214,455,772,368,173,724,54,1559,661,2885,3478,2835,4477,3555,8861,494,7162,2663,3707,541.2173436358227,556.0809228701545,0,1142.1870196848656,817.0592548270897,2196.7699982515483,1837.6766634889646,0,3229.0145197014285,347.33834130706254,751.2912842559432,1632.4806447557,1137.6688979945964,0,1594.4312256398512,2,0,3
2490,3103,3600,653,2469,465,3036,473,2809,2467,508,409,2538,2655,640,1749,1552,393,86,686,1662,420,1114,66,1219,538,1534,2043,4984,139,3085,2681,1645,3603,553,2594,204,3433,1947,252,909,2807,2373,809,544,118,1055,1318,13,202,1624,2904,2089,1085,949,1554,1391,787,456,293,1081,171,1737,264,3679,294,6128,8138,407,4893,350,3630,1889,2423,2017,1458,2901,480,1434,682,2630,506.11518604180475,544.6895483664744,509.4815121961806,529.4794011066951,0,1418.8501021954364,1749.5379181818917,3897.8865954475123,904.0332563543225,0,743.9778452361213,1823.9941621481482,1197.9454367997519,1386.6704592432084,0,0,0,3
1892,211,84,1058,1073,1139,2886,1264,136,454,968,419,889,1542,1973,1808,985,2196,356,1440,2799,3206,2150,1394,2256,1107,2163,333,1775,589,3051,2319,191,471,2458,2986,921,535,204,776,606,1450,1168,30,1824,2262,1068,1326,3008,2330,506,925,1399,1987,1883,4621,313,5054,4764,2508,5167,350,2290,160,2291,366,3224,3801,748,398,1766,2567,353,1426,394,1595,1572,561,829,2651,2269,231.35850702520077,91.93066911374014,172.128122443232,350.6823334786948,0,690.6587905760703,940.1890281652052,3282.0800013752105,1632.0079457612069,0,924.8560062819832,1431.351609526678,393.0365461154579,1206.2928167050925,0,0,0,3
1260,409,334,1401,1422,10,1173,234,1867,1237,363,2132,1038,879,3702,833,3844,916,1286,132,3224,1853,1638,2174,212,1418,22,1206,577,1510,2216,583,273,1681,3150,1809,179,473,486,514,1225,1726,1439,1601,861,3941,2659,3327,539,3731,5316,890,2930,1338,1526,1618,984,991,1645,4111,2471,369,532,2800,2367,113,1004,113,666,267,1832,619,1722,2373,1529,1507,2533,2231,1254,1222,309,475.05304456271307,227.33401748820967,569.7077549639496,503.95125876536923,0,1002.8152023179546,432.52867969475994,3088.2528805899055,1717.3598977603704,0,1002.2139884316407,789.8580888058096,440.14933472024177,634.8683050446525,0,0,0,3
2476,3510,875,1825,2243,312,1890,1396,2956,543,1753,386,1573,72,2610,2960,1613,383,547,947,353,391,488,1044,1073,1409,1929,1946,2539,1489,232,1053,1659,268,368,2282,568,3086,1286,2849,5659,1282,2677,845,2133,970,2349,2411,132,1025,477,1416,241,1100,689,876,1946,1403,1241,1447,1852,1508,1383,840,441,888,567,549,1221,953,296,2739,4988,1330,3365,3091,2567,3765,1077,3273,337,179.38494496165902,126.23913302957948,623.6240304311973,485.02748933638145,0,1625.3807246303866,311.5532598597907,1408.7353029200385,2367.9628730379172,0,581.6018471090402,2177.9727974845277,603.2766874163543,1388.0002002554083,0,0,0,3
3166,768,1794,268,3065,2633,609,144,1322,2263,853,1311,1068,542,532,1217,1663,291,1967,1491,903,1404,1452,1215,1906,24,1444,4837,1237,6881,7151,2883,6553,63,4973,3176,1367,621,3498,4296,204,2042,613,1778,169,1663,1327,264,1271,891,149,1396,2413,2074,958,163,220,571,754,640,206,1186,1627,1223,2926,1123,4041,2513,2860,2425,2824,4115,316,1508,1884,3511,905,2097,1652,1155,1694,625.317972450374,545.6730736659941,637.1702825219094,878.9139441449627,0,2196.8446918250734,1332.171892314519,3113.3139743388792,2971.150378779572,0,963.39548766389,1816.647144140353,949.1782686025485,1043.5992616643978,0,0,0,3
104,148,1771,2630,2552,879,569,1909,2075,40,931,516,521,1210,913,3409,2724,3319,1669,5317,8618,684,7544,2163,4096,2849,1820,2408,1548,3379,1186,409,705,2037,1692,353,333,7,640,1292,1424,969,546,494,1216,864,1955,2993,1635,584,1584,4345,1379,2613,637,937,3148,901,2533,1639,803,1495,950,1554,820,2327,2057,1052,1116,1946,1946,1378,273,219,447,655,88,175,1033,1782,2284,231.19731869063628,820.9691046558075,616.8277665907979,968.592180900798,0,1312.6503732906185,850.5141721731052,2787.04596406567,2272.2508167893675,0,2405.804388267101,1641.9548065611937,674.799091857658,1073.0145020695566,0,0,0,3
2586,1774,714,995,1133,553,2608,2102,4890,3805,3547,6801,58,6117,2775,3208,3977,111,1017,2506,4770,1805,1315,680,1407,1666,56,353,1324,1386,250,1682,1304,792,711,1261,1919,1419,470,115,385,768,508,390,2293,4716,1431,2929,4334,955,3738,390,3394,1535,1441,716,1619,1341,571,1571,256,1333,1501,1054,663,1583,2774,2960,852,361,1558,1035,573,976,761,1233,686,781,1017,1223,4229,213.21130823559767,476.1091826105222,695.3667659905523,1101.6532089443058,0,687.8132831662965,1792.5394566962573,2583.079646588767,2253.4884194005185,0,2444.025759408889,1262.0980166615634,1579.9424218854208,205.44440656877975,0,0,0,3
1173,6222,3250,6019,4805,2765,4347,218,2601,1277,4195,2360,974,338,2881,2669,437,1703,324,862,1303,2118,780,1228,1915,2029,1324,1479,2712,1994,377,740,1531,1344,2621,1884,3572,1246,1094,2522,1964,811,659,2207,2966,26,2017,626,845,243,2128,1732,380,1133,319,817,28,1639,1273,830,1408,348,813,459,939,146,699,182,3480,3251,5256,5629,6188,10684,1893,6474,2810,6092,6279,793,2783,550.5262852582899,1264.9202660047854,1277.8618435421301,2141.3698963967545,0,1561.705616465536,1103.5176795652965,2222.685089451443,3142.281988159397,0,3854.0234028520667,2558.4857021270877,2574.60355879989,1344.7602132200639,0,0,0,3
1646,3506,757,1991,846,2084,2522,892,594,2099,2358,1653,473,461,500,396,78,297,286,512,33,73,611,2057,221,2430,361,2245,3374,310,1801,123,1135,434,1704,1860,131,526,198,887,475,250,1174,1929,1239,1235,2072,2135,667,401,693,1321,1233,740,964,1196,62,793,812,1402,378,5161,4009,1028,5983,1695,4561,3086,499,964,2811,3778,1503,844,700,3261,1703,1484,1755,265,482,365.3123473105791,597.721047243919,486.5517112550971,207.62693791014914,0,963.479247311534,1749.5369724870507,2441.872811277694,884.0617504360879,0,1140.2144174155962,1787.8457775681343,840.9244535991068,678.4618651841821,0,0,0,3
380,741,733,89,4,1001,2116,1528,1250,1770,1523,1342,1083,276,139,408,1115,2633,2504,930,730,917,1843,1434,213,565,39,943,755,894,1236,1052,375,133,30,142,592,1618,1627,70,257,369,20,1414,1480,1432,2669,869,1104,4677,5387,410,4161,1079,2181,589,1881,1729,522,611,1471,2873,1612,139,788,1810,1126,513,617,774,739,513,1451,228,1618,1445,766,30,485,582,106,498.2636038022554,562.9160387293,436.5978487580553,636.5348292447463,430.3474378689682,1046.258202470309,0,879.7760344791774,2106.9830526528244,561.5341348811456,789.952602509799,858.1485104724313,305.9045232266103,0,399.915750596637,5,0,3
271,1296,1355,2435,742,2669,3283,1381,3241,228,2033,233,2269,155,2609,1899,100,201,1037,1743,439,1385,1262,369,22,1198,836,866,1831,1077,98,682,315,428,241,403,1062,2146,3172,2866,6761,2711,5253,2444,3753,4846,1058,1656,668,2536,710,2546,1851,1377,1901,329,219,1325,3113,2105,651,991,2844,1368,639,630,41,154,1082,1455,1820,2711,324,767,4835,4287,531,4089,1622,3182,3336,408.6134611103549,211.47632469813195,1303.758087152417,441.8467781434418,0,1491.7597603166537,940.7078748480559,1644.693073102393,3637.15884227075,0,300.583804912619,2213.3353522973916,355.41800864601294,1273.6065124620623,0,0,0,3
1199,2354,838,3337,1786,394,977,2813,2541,575,35,447,31,1063,1723,1995,3,2102,1673,1007,2529,2797,1347,1427,1960,691,2123,776,5530,4048,4943,9111,918,6691,3273,3565,4435,1019,2783,1793,5553,2738,894,286,1609,1314,977,1560,112,1283,625,711,61,1765,1706,585,1732,417,457,84,1038,674,1033,970,2306,1405,3664,3667,700,1205,3472,4306,779,1586,341,2713,920,2455,2272,836,2181,457.6331268384174,693.4554722694444,578.4868013185809,225.7610437052964,0,1842.3719989459241,1372.897172068932,3776.401535198498,2130.035790721362,0,2335.6673280318914,1036.384568860992,1913.46478697948,854.4390480378697,0,0,0,3
504,903,342,871,108,2134,3185,1371,216,1368,2141,733,506,51,285,517,744,2391,738,3032,142,6375,6803,2541,6248,105,4522,943,3584,1342,2764,2600,425,1225,1155,1949,76,1939,1167,554,2319,2889,1899,394,376,398,116,662,1999,1432,274,83,1473,1921,2160,4073,750,3950,3303,2361,3682,1608,4371,1744,1449,67,3747,3381,165,816,246,387,344,1221,1600,693,245,335,89,1550,1719,344.71942287074637,482.601927627988,626.2861841194031,759.3873847791247,0,1385.3678365329552,543.4046406968648,4051.6906843037877,1389.1015017020252,0,2281.8147148124713,1310.2863242762057,1154.671203134133,1008.6689167661928,0,0,0,3
930,495,96,501,388,498,360,30,1080,1582,693,5991,4311,5523,9889,1871,10458,3428,3895,1006,3634,3994,493,1438,590,2229,1314,564,671,1130,2409,1659,1347,1563,2377,1835,1107,405,406,537,133,122,662,22,729,1773,86,339,2385,3018,2250,2977,2872,1603,2825,350,2122,187,2285,2182,410,135,1352,2251,1140,343,374,134,1058,1670,2062,1043,181,416,806,1705,2497,1897,1121,1187,1104,473.78973168549715,659.3109539911513,1109.7930639443339,1154.4662516833357,0,1798.7373522835403,1137.657259635404,3571.177066245379,1344.759030489855,0,3248.63882804261,1314.1692536430373,1800.8613699477637,858.156027682352,0,0,0,3
3697,1227,5078,2027,6414,7797,1718,7327,1633,4387,3482,1314,1552,831,3000,2839,272,318,1435,3127,2420,325,267,637,447,365,822,871,1587,2502,2109,1671,1735,1232,356,84,1641,1587,3314,1787,2166,1480,1249,3349,622,1692,1194,394,217,2493,3282,1516,398,485,303,619,349,190,834,2167,2896,1780,1628,1919,1324,917,1192,583,728,182,910,773,919,931,1413,187,3626,823,879,2088,769,127.8975776751763,1039.6914188543512,923.0439439378077,872.5062249123998,0,846.7842715237454,378.7523250548562,2150.3620655675227,1663.1820505159362,0,3466.969339157584,1837.7855702739425,1774.4242020886788,1123.9777256931964,0,0,0,3
794,39,1014,1185,866,2135,1433,50,230,1296,374,953,1550,1110,1183,2267,2270,1478,467,807,243,618,1038,1812,1375,172,318,670,492,1318,2032,796,4284,1056,3474,1486,655,1721,1147,3339,2552,39,59,2306,3274,1069,1043,767,181,164,1086,1645,69,1080,342,940,679,113,590,2647,3018,1348,686,651,93,1273,2944,5766,1005,5320,2128,4770,4659,466,1928,295,1098,1021,3059,2415,177,833.3766466461071,301.7252498774711,769.7537477321796,476.94231405639016,0,725.815522360882,1070.8857461412258,2239.6005129208256,2590.7595754429203,0,212.85676286115302,1524.6126365780156,596.8258026997217,812.0750861931714,0,0,0,3
364,648,452,190,215,204,997,1633,1970,1987,2838,1853,1447,1312,847,309,27,380,414,594,513,1251,694,3152,941,3112,1742,2309,246,1047,1185,648,1129,474,531,145,2030,2656,1546,843,1718,2079,1567,840,121,138,733,208,900,392,606,1204,1964,2529,1551,806,2218,2614,122,718,2138,148,3952,3954,3154,3479,2252,5326,1947,2088,548,4500,3713,1031,2229,1472,3561,1077,1701,849,1124,493.7525866514043,475.0665383697735,277.70241922871014,1003.4660350011293,0,768.4080719253279,1893.2149633102763,1325.451529759544,2533.098724762955,0,714.1927194654118,1338.4917480637541,314.7126845017286,416.935475169533,0,0,0,3
1347,695,253,1621,3053,3221,976,266,971,238,1327,865,178,423,2551,4684,1582,2734,4618,2535,7185,1246,2720,120,3105,1776,1068,1568,234,789,754,382,416,1317,2458,2309,2073,1671,1796,980,14,284,7,399,563,532,115,314,1193,973,4295,3420,4761,3475,3599,5299,1944,1742,2068,417,940,1750,3120,938,1544,984,605,153,1384,2358,1858,562,1110,1904,1454,153,986,1286,1186,228,81,555.4247768609144,726.5888280737022,207.2164198898694,773.3281389931226,0,1091.2946096265666,675.1878770043769,2922.307428041716,706.0132216254837,0,2779.620093305928,348.6710993102402,1451.8691103543927,1116.547072919181,0,0,0,3
654,413,198,413,164,320,1832,23,2465,931,551,1510,1933,169,656,1860,2175,735,701,1892,1839,1380,842,113,32,151,313,877,1799,1348,1658,2402,2655,1694,1400,726,333,86,220,756,162,3822,3911,3585,3601,3510,8274,3403,4305,3264,1965,2773,756,2452,534,1914,2184,343,400,294,1301,11,2262,2511,1828,1482,1839,1649,1670,404,669,234,309,319,425,460,424,557,1081,1012,2793,197.10481452062,695.8086850122411,302.30135883243685,694.8574250680138,0,1008.0768323892779,1352.1650598340786,1409.586553552315,2456.7939337253615,0,1519.3881936611042,1761.3952497435068,982.8475197551205,874.5660150011105,0,0,0,3
