594,454,1715,3211,1627,1468,2090,1562,816,569,643,298,251,1158,1485,3194,1376,4450,1223,4387,3177,1214,1694,635,671,2522,2139,52,984,244,526,829,303,833,306,764,1798,1099,1068,2439,2547,1470,839,180,1564,2130,1111,86,334,136,470,560,667,334,1002,1697,2348,1536,2357,425,5419,1759,1077,1287,16,1940,383,471,1540,1860,1417,839,586,633,692,312,1543,2193,2106,1406,1346,73.03606398903382,272.38624486212643,154.9627565274833,510.6346167915168,573.4123407287291,543.6742253585293,612.0084672770678,352.5038760620138,511.7814339869858,26.761319391127888,438.78062568572943,195.74731908021204,245.40833127990973,0,0,3
1513,1239,379,468,515,397,1071,2010,2126,2106,2016,1215,74,432,856,365,697,1733,952,2487,2392,3137,1923,2596,1359,862,586,858,698,535,517,351,39,698,555,793,1305,1127,2205,3603,2862,1664,391,172,284,110,629,120,1451,1949,1236,1497,216,2061,5941,1303,2016,1557,459,1226,144,1277,7,1813,2218,870,307,122,722,462,1388,3097,2664,1346,1402,1780,1739,302,743,55,1132,176.09947936597962,186.08324615412272,45.98927996162017,328.6416386825409,100.91919391555436,182.10245610130195,240.6532514251999,765.3926080391254,377.67854095982864,509.0946165548501,82.28582498436509,212.16835211431726,262.02340407937004,3,0,3
554,14,865,1888,2134,1164,797,995,375,1209,3600,392,4279,939,1941,2900,344,2637,758,1183,1183,289,192,1829,2666,2288,912,6,517,1163,723,220,647,1110,1405,1271,1010,256,817,1172,1791,2447,2602,1363,31,775,1128,297,59,2398,2943,1798,1428,2923,5792,2880,1409,719,3431,1648,920,1318,598,1783,874,186,862,2465,2387,1669,1314,1736,1127,429,1966,1567,111,303,368,105,1431,26.49078545594668,153.45457035152157,76.19680068594742,463.6167426491783,142.76030610782536,813.5637851564443,658.8543989385237,802.6805739555609,628.1685862511381,578.6325167017269,201.35408087220858,377.61883747087177,88.64932212441066,0,0,3
2003,1057,42,30,790,94,1001,2714,58,4139,500,2283,3398,1229,2455,2266,1452,1133,1999,2690,750,2019,2545,504,147,836,1838,1534,106,517,594,1250,718,824,1484,2100,2666,2460,1206,883,1253,684,535,631,442,1658,328,3613,1396,5721,4878,998,1054,2497,3695,609,1831,600,1613,1158,248,372,385,1097,963,511,261,13,1390,2456,2550,2560,2439,1040,88,181,420,495,1254,834,1092,38.676279696256266,122.59479604720698,59.54312305377377,299.18904036656426,303.9663684110464,661.1689039675543,378.58095995530357,1202.218367912506,152.34314813689807,776.4258880674238,20.820229914739414,372.2605873269424,74.48772436885204,0,0,3
2161,2813,1697,326,3176,2276,4936,3810,1582,4146,1097,2143,138,1044,639,3030,3470,831,1395,1174,103,535,2367,3216,1824,14,47,793,951,279,906,1001,3068,2368,1230,1603,2006,1871,1438,243,11,281,2025,119,3968,558,3770,1782,366,1068,3564,4120,1640,25,1073,1627,88,1223,437,558,841,785,853,845,779,212,230,816,1669,2565,2452,1506,957,974,845,114,527,539,356,1722,1816,249.37816694721846,242.33860637167174,156.5159585582474,477.25404755974125,104.67045010412443,733.259465465483,597.5866166658578,1222.463062630923,305.7235249403238,529.1546212921016,304.82057802608045,428.4643866692772,285.9648169055933,0,0,3
2136,236,189,4451,3223,1282,571,920,366,491,4,483,1233,2056,2369,1767,868,774,759,271,1325,1610,1506,1713,2010,1961,137,915,257,586,1136,1338,1944,2752,2489,1570,632,893,17,2862,3380,3271,2914,233,1744,3726,1670,933,2345,3019,1783,303,800,665,541,796,1471,1284,160,345,888,1368,939,959,1959,2732,2437,438,566,219,126,1232,1281,172,764,100,22,880,1262,2253,2771,194.67827360517313,208.13602692703523,144.21323515901148,286.3703196737654,174.93149016114853,118.05100575940594,206.28121962193677,719.6820800001333,364.3486458534551,386.3172891390818,335.31842158346126,277.46624924471024,284.80390721435737,0,0,3
2188,834,1595,3237,3889,858,77,1008,855,240,1024,1082,42,2101,2639,1548,1189,1947,2323,1425,628,315,377,169,808,1532,546,1036,1301,1700,1544,328,93,277,566,2215,653,7,5569,1615,2713,2821,1179,1534,113,2437,687,1928,2063,172,301,1963,3087,2459,781,765,20,379,422,1478,949,229,420,742,1849,2875,2339,1270,132,167,1076,280,919,650,2395,1655,3228,3570,5593,3252,1077,89.47156524282066,358.01160312483614,45.21277666481174,531.2814359062484,117.9803289804371,815.9325544606664,722.2118867927179,641.4163644495882,706.2530213395763,561.111705073701,350.4226449013023,464.84551784859485,0,2,3
35,2061,1888,207,478,337,430,805,1042,799,628,1030,1523,1135,245,1448,1860,1808,1991,1918,1594,658,152,132,313,678,678,953,1421,1911,2800,2299,3420,2137,3157,1670,1960,3055,1060,1803,515,2472,1773,1227,1476,2631,2995,1766,319,444,439,476,731,955,706,323,330,653,56,605,170,1771,2744,2512,2202,2233,1788,841,412,431,446,412,2852,3736,2771,5078,2768,53,283,2558,2586,225.37731492379655,122.14703992590469,398.7551815262542,64.26409223434624,517.8619036480671,26.7135691454517,802.1556114881218,308.2058657724806,383.50183247508045,555.2217785844246,498.03438582473257,393.1539731124494,532.2426217209062,0,0,3
954,230,295,1533,1734,90,1072,77,1299,2240,2105,837,999,1642,801,1135,1911,1725,1351,749,602,11,851,1091,279,211,41,445,457,1237,469,1996,2674,4326,3072,997,1737,722,332,1262,2196,716,1760,2365,1993,2002,2203,2433,1750,615,151,650,337,341,226,283,656,1208,1022,613,1019,282,1524,1891,918,857,1684,1036,366,3057,1224,3868,81,3349,1948,284,2470,1150,24,1420,2258,106.95411684121535,63.793087328113046,160.3698866443909,160.041475392392,427.9400549434465,221.73765869997533,954.9517486682557,16.936339353815594,393.7077075630697,399.7370436194183,483.4512068823625,218.92797072839386,401.7315877913656,0,0,3
1830,600,29,14,321,524,666,755,1191,1801,2022,2071,1390,1057,869,221,2047,2561,1003,15,1030,1475,844,961,1260,746,499,676,1763,5758,1398,81,78,1003,110,446,269,483,460,686,568,1246,1802,2064,2438,2222,1570,723,347,1175,1362,705,291,709,803,195,48,812,2116,2252,1894,1666,1538,1896,567,811,180,4474,3643,3786,3490,1108,4241,4034,151,407,2927,2179,560,2330,1628,350.42486538492847,57.27394624242507,108.50289041979784,278.8214510555224,407.5312081607984,439.85180401430574,869.2545045755938,596.5914307449547,522.0590400982924,301.06848565400105,528.3667776436954,199.94755853103413,553.0826568976862,0,0,3
213,868,108,1398,533,939,809,681,1446,1131,386,1314,3024,3301,1510,563,741,639,20,504,314,658,1073,1414,976,91,6210,5145,1562,296,609,1560,1178,361,84,889,1761,1537,602,394,1350,2494,2591,1602,62,153,112,899,2071,1793,1140,244,450,446,450,188,527,1907,2486,1984,1939,1475,732,689,1980,4972,139,2648,1286,453,2194,730,48,1773,3228,2990,1370,658,1193,1179,99,310.52368766474206,61.381761195219546,220.12341567175818,150.43190069811192,392.4544599377105,379.6949873523133,539.262458967228,442.25130632696647,886.2316333032279,308.6397347719694,382.06107001890877,138.29683713521982,401.6211606186564,0,0,3
1014,795,348,966,6,287,568,789,442,1567,2150,2166,1687,2103,2183,552,503,122,774,129,36,1177,616,5514,3676,236,1310,634,3861,2081,352,175,1391,1783,118,1071,264,1677,2702,1590,324,160,359,356,1718,2513,1914,1175,1524,1991,686,874,594,194,1057,1804,1562,2012,2841,2679,336,489,4077,453,2041,875,304,989,1475,1203,1856,2313,1990,1556,1375,977,468,104,651,1132,1052,233.55247704068665,119.54053903062992,224.1811957713005,54.954162541897745,314.0556101234302,223.53191411168245,550.0734439006047,842.7233923951146,484.08094267243035,389.21123256028045,207.27261454876145,286.25147875807875,274.32735308530584,0,0,3
1048,1118,385,218,217,625,1192,1142,1695,3217,3250,1479,78,60,237,542,123,417,1048,4636,3173,3112,1748,1864,3693,4074,767,198,1509,1000,1510,2715,1131,632,1513,1028,106,56,57,794,2181,3021,2926,1576,1229,1460,761,984,1508,345,534,432,397,1099,1960,1335,565,230,2011,549,4355,3676,909,1763,1366,646,554,1906,1276,297,1043,1288,680,470,1717,2570,2588,1994,839,587,847,93.9457982962637,180.5461567055787,100.93666168699404,89.41925870327327,283.66028317337623,396.886614605837,476.32104694301825,969.8724699722712,576.9674499131112,515.5089112795962,349.4623845767785,212.33549491822157,132.91661998725593,0,0,3
454,70,256,465,813,1564,1977,1412,848,719,45,1033,1525,1416,66,825,3071,2431,2185,838,2613,3511,1591,1243,71,2129,522,2232,2775,550,379,722,1555,872,394,850,439,2146,1936,1142,1849,2906,1736,251,1633,1488,14,251,1113,301,1288,1535,288,212,376,889,3008,1079,3112,960,4240,3716,1141,946,1034,1059,1071,1691,276,2046,2483,1972,1997,2474,2440,1013,236,432,353,41,669,144.49427141126952,83.66839499955191,242.61619765664125,192.3630029846699,509.96973500885326,341.2631499739658,931.5920894355918,323.7947632610676,785.3466153049594,148.76351170348036,421.9263244192398,108.63220603072119,333.12217436211364,0,0,3
409,532,605,341,538,594,1035,189,1831,2211,1054,999,1985,149,764,2295,2033,4225,2460,966,2609,19,1064,1781,3706,1757,725,238,2156,2057,560,517,51,1282,1570,725,1061,2197,2584,906,669,808,671,1648,2717,1404,323,1030,1107,580,950,1372,181,3461,1038,3794,447,3040,2474,2220,507,240,773,110,873,888,318,35,867,1574,1625,1810,2658,2728,1569,986,149,63,75,153,449,262.9838670778817,102.01190996607528,253.55045983311575,203.05909125042768,447.20198526504777,336.2903905910477,793.9068996373171,570.0947061252635,524.1843246535468,408.4446147206286,345.9307331742391,163.57716903544383,324.94127749852464,0,0,3
